"Name","Hometown","Position","Stars","Grade","School"
"Kiehl FrazierVideo | Scouts Report","Springdale, ARShiloh Christian School","#2 QB","","81","Signed02/02/2011"
"Todd BarrVideo | Scouts Report","Lakewood, CALakewood High School","#6 DT","","81","Signed02/02/2011"
"Gerod HollimanVideo | Scouts Report","Miami, FLMiami Southridge Senior High School","#3 S","","81","Signed02/02/2011"
"Jamal TurnerVideo | Scouts Report","Arlington, TXSam Houston High School","#6 ATH","","81","Signed02/02/2011"
"Trey MetoyerVideo | Scouts Report","Whitehouse, TXWhitehouse High School","#8 WR","","81","Signed02/02/2011"
"Erique FlorenceVideo | Scouts Report","Valley, ALValley High School","#4 S","","81","Signed02/02/2011"
"Jeoffrey PaganVideo | Scouts Report","Asheville, NCAsheville High School","#8 DE","","81","Signed02/02/2011"
"Angelo MangiroVideo | Scouts Report","Succasunna, NJRoxbury High School","#2 OG","","81","Signed02/02/2011"
"Steve EdmondVideo | Scouts Report","Daingerfield, TXDaingerfield High School","#4 ILB","","81","Signed02/02/2011"
"Reese DismukesVideo | Scouts Report","Spanish Fort, ALSpanish Fort High School","#1 OC","","81","Signed01/14/2011"
"DeAnthony ArnettVideo | Scouts Report","Saginaw, MISaginaw High School","#9 WR","","81","Signed02/02/2011"
"Max WittekVideo | Scouts Report","Corona Del Mar, CAMater Dei High School","#3 QB","","81","Signed12/16/2010"
"Victor BlackwellVideo | Scouts Report","Santa Ana, CAMater Dei High School","#10 WR","","81","Signed02/02/2011"
"Keelin SmithVideo | Scouts Report","Port Saint Lucie, FLTreasure Coast High School","#5 S","","81","Signed02/02/2011"
"A.C. LeonardVideo | Scouts Report","Jacksonville, FLUniversity Christian High School","#7 ATH","","81","Signed01/11/2011"
"Tacoi SumlerVideo | Scouts Report","Miami, FLChristopher Columbus High School","#11 WR","","81","Signed02/02/2011"
"Curt MaggittVideo | Scouts Report","Palm Beach Gardens, FLDwyer High School","#3 OLB","","81","Signed02/02/2011"
"Danzel WilliamsVideo | Scouts Report","Arlington, TXJames Martin High School","#8 ATH","","81","Signed02/02/2011"
"DaVaris DanielsVideo | Scouts Report","Vernon Hills, ILVernon Hills High School","#12 WR","","81","Signed02/02/2011"
"Mitch SmothersVideo | Scouts Report","Springdale, ARSpringdale High School","#3 OG","","81","Signed02/02/2011"
"Nick WaisomeVideo | Scouts Report","Groveland, FLSouth Lake High School","#2 CB","","81","Signed12/22/2010"
"Avery WallsVideo | Scouts Report","McDonough, GAEagles Landing Christian Academy","#6 S","","81","Signed02/02/2011"
"Doran GrantVideo | Scouts Report","Akron, OHSt. Vincent-St. Mary High School","#3 CB","","81","Signed02/02/2011"
"Kasen WilliamsVideo | Scouts Report","Sammamish, WASkyline High School","#13 WR","","81","Signed02/02/2011"
"Wayne LyonsVideo | Scouts Report","Oakland Park, FLDillard High School","#7 S","","81","Signed02/02/2011"
"Mike BellamyVideo | Scouts Report","Punta Gorda, FLCharlotte High School","#6 RB","","81","Signed02/02/2011"
"Marcus JacksonVideo | Scouts Report","Vero Beach, FLVero Beach Senior High School","#4 OG","","81","Signed01/13/2011"
"Mike BlakelyVideo | Scouts Report","Bradenton, FLManatee High School","#7 RB","","81","Signed01/11/2011"
"Marvin ShinnVideo | Scouts Report","Prichard, ALVigor High School","#14 WR","","81","Signed02/02/2011"
"Damian SwannVideo | Scouts Report","Atlanta, GAGrady High School","#9 ATH","","81","Signed02/02/2011"
"Ben KoyackVideo | Scouts Report","Oil City, PAOil City High School","#3 TE","","81","Signed02/02/2011"
"De'Ante SaundersVideo | Scouts Report","DeLand, FLDeLand High School","#10 ATH","","81","Signed01/11/2011"
"Demetrius HartVideo | Scouts Report","Orlando, FLDr. Phillips High School","#8 RB","","81","Signed02/02/2011"
"Braxton MillerVideo | Scouts Report","Huber Heights, OHWayne High School","#4 QB","","81","Signed02/02/2011"
"Ryan ShazierVideo | Scouts Report","Plantation, FLPlantation High School","#4 OLB","","81","Signed02/02/2011"
"Malcolm FacianeVideo | Scouts Report","Picayune, MSPicayune Memorial High School","#4 TE","","81","Signed02/02/2011"
"Eli RogersVideo | Scouts Report","Miami, FLMiami Northwestern High School","#15 WR","","81","Signed02/02/2011"
