"Name","Hometown","Position","Stars","Grade","School"
"Matt BarkleyVideo | Scouts Report","Santa Ana, CAMater Dei High School","#1 QB","","93","Signed"
"Manti Te'oVideo | Scouts Report","Honolulu, HIPunahou School","#1 OLB","","93","Signed"
"Russell ShepardVideo | Scouts Report","Houston, TXCypress Ridge High School","#1 ATH","","92","Signed"
"Dre KirkpatrickVideo | Scouts Report","Gadsden, ALGadsden High School","#1 CB","","92","Signed"
"Jacobbi McDanielVideo | Scouts Report","Greenville, FLMadison County High","#1 DT","","91","Signed"
"Trent RichardsonVideo | Scouts Report","Pensacola, FLEscambia High School","#1 RB","","91","Signed"
"Craig LostonVideo | Scouts Report","Aldine, TXDwight D. Eisenhower High School","#1 S","","90","Signed"
"Dee FinleyVideo | Scouts Report","Auburn, ALMilford Academy","S(POST)","","88","Signed"
"Bryce BrownVideo | Scouts Report","Wichita, KSWichita East High School","#2 RB","","88","Signed"
"Jelani JenkinsVideo | Scouts Report","Wheaton, MDGood Counsel High School","#2 OLB","","87","Signed"
"Rueben RandleVideo | Scouts Report","Bastrop, LABastrop High School","#1 WR","","86","Signed"
"Garrett GilbertVideo | Scouts Report","Austin, TXLake Travis High School","#2 QB","","86","Signed"
"D.J. FlukerVideo | Scouts Report","Foley, ALFoley High School","#1 OT","","86","Signed"
"Aaron MurrayVideo | Scouts Report","Tampa, FLPlant Senior High School","#3 QB","","86","Signed"
"Devon KennardVideo | Scouts Report","Phoenix, AZDesert Vista High School","#1 DE","","86","Signed"
"Greg ReidVideo | Scouts Report","Valdosta, GALowndes High School","#2 CB","","85","Signed"
"Vontaze BurfictVideo | Scouts Report","Corona, CACentennial High School","#1 ILB","","85","Signed"
"Andre DeboseVideo | Scouts Report","Sanford, FLSeminole High School","#2 WR","","85","Signed"
"Stephon GilmoreVideo | Scouts Report","Rock Hill, SCSouth Pointe High School","#2 S","","85","Signed"
"Devonte HollomanVideo | Scouts Report","Rock Hill, SCSouth Pointe High School","#3 S","","84","Signed"
"Nico JohnsonVideo | Scouts Report","Andalusia, ALAndalusia High School","#2 ILB","","84","Signed"
"Ray Ray ArmstrongVideo | Scouts Report","Sanford, FLSeminole High School","#4 S","","84","Signed"
"Jaamal BerryVideo | Scouts Report","Miami, FLMiami Palmetto High School","#3 RB","","84","Signed"
"Gary BrownVideo | Scouts Report","Quincy, FLWest Gadsden High School","#2 DT","","84","Signed"
"Marlon BrownVideo | Scouts Report","Memphis, TNHarding Academy","#3 WR","","84","Signed"
"Darius WinstonVideo | Scouts Report","Helena, ARWest Helena Central High School","#3 CB","","84","Signed"
"Sam MontgomeryVideo | Scouts Report","Greenwood, SCGreenwood High School","#2 DE","","84","Signed"
"Mason WaltersVideo | Scouts Report","Wolfforth, TXFrenship High School","#1 OC","","83","Signed"
"Frankie TelfortVideo | Scouts Report","Miami, FLGulliver Prep School","#3 OLB","","83","Signed"
"Paden KelleyVideo | Scouts Report","Austin, TXLake Travis High School","#2 OT","","83","Signed"
