"Name","Hometown","Position","Stars","Grade","School"
"Joe McKnightVideo | Scouts Report","River Ridge, LAJohn Curtis Christian High School","RB","","92","Signed"
"Chris GalippoVideo | Scouts Report","Anaheim, CAServite High School","ILB","","90","Signed"
"Marc TylerVideo | Scouts Report","Westlake Village, CAOaks Christian High School","RB","","90","Signed"
"Eric BerryVideo | Scouts Report","Fairburn, GACreekside High School","CB","","90","Signed"
"Martez WilsonVideo | Scouts Report","Chicago, ILSimeon Career Academy","DE","","87","Signed"
"Noel DevineVideo | Scouts Report","North Fort Myers, FLNorth Fort Myers High School","RB","","87","Signed"
"Terrance ToliverVideo | Scouts Report","Hempstead, TXHempstead High School","WR","","86","Signed"
"J.B. WaltonVideo | Scouts Report","Indian Head, MD","OG(POST)","","86","Signed"
"Jimmy ClausenVideo | Scouts Report","Westlake Village, CAOaks Christian High School","QB","","86","Signed"
"Michael McNeilVideo | Scouts Report","Mobile, ALDavidson High School","S","","86","Signed"
"Marvin AustinVideo | Scouts Report","Washington, DCFrank W. Ballou High School","DT","","85","Signed"
"Golden TateVideo | Scouts Report","Hendersonville, TNPope John Paul II High School","WR","","85","Signed"
"Ryan MallettVideo | Scouts Report","Texarkana, TXTexas High School","QB","","85","Signed"
"Gary GrayVideo | Scouts Report","Columbia, SCRichland Northeast High School","CB","","85","Signed"
"Brian MaddoxVideo | Scouts Report","Anderson, SCT. L. Hanna High School","RB","","85","Signed"
"LeSean McCoyVideo | Scouts Report","Harrisburg, PA","RB(POST)","","84","Signed"
"Carlos DunlapVideo | Scouts Report","North Charleston, SCFort Dorchester High School","DE","","84","Signed"
"Tyrod TaylorVideo | Scouts Report","Hampton, VAHampton High School","QB","","84","Signed"
"Arrelious BennVideo | Scouts Report","Washington, DCDunbar High School","WR","","84","Signed"
"Marshall JonesVideo | Scouts Report","Westlake Village, CAOaks Christian High School","S","","84","Signed"
"Junior HemingwayVideo | Scouts Report","Conway, SCConway High School","WR","","84","Signed"
"Allen BaileyVideo | Scouts Report","Darien, GAMcIntosh County Academy","DE","","84","Signed"
"Tray AllenVideo | Scouts Report","Grand Prairie, TXSouth Grand Prairie High School","OT","","84","Signed"
"Greg LittleVideo | Scouts Report","Durham, NCHillside High School","WR","","84","Signed"
"Antwain EasterlingVideo | Scouts Report","Miami, FLMiami Northwestern High School","RB","","84","Signed"
"Christian ScottVideo | Scouts Report","Dallas, TXSkyline High School","S","","84","Signed"
"John BrantleyVideo | Scouts Report","Ocala, FLTrinity Catholic High School","QB","","84","Signed"
"Kerry NealVideo | Scouts Report","Bunn, NCBunn High School","DE","","84","Signed"
"Israel TroupeVideo | Scouts Report","Tifton, GATift County High School","WR","","83","Signed"
"Josh OglesbyVideo | Scouts Report","Milwaukee, WISt. Francis High School","OT","","83","Signed"
"Dez BryantVideo | Scouts Report","Lufkin, TXLufkin High School","WR","","83","Signed"
"D. J. StaffordVideo | Scouts Report","LaGrange, GALaGrange High School","DT","","83","Signed"
"Everson GriffenVideo | Scouts Report","Avondale, AZAgua Fria Union High School","DE","","83","Signed"
"Deonte ThompsonVideo | Scouts Report","Belle Glade, FLGlades Central High School","WR","","82","Signed"
"Aaron CorpVideo | Scouts Report","Orange, CAOrange Lutheran High School","QB","","82","Signed"
"Justin AndersonVideo | Scouts Report","Ocilla, GA","OT(POST)","","82","Signed"
"Chris RaineyVideo | Scouts Report","Lakeland, FLLakeland High School","RB","","82","Signed"
"Aleric MullinsVideo | Scouts Report","Wendell, NC","DT(POST)","","82","Committed"
"John BrownVideo | Scouts Report","Lakeland, FLLakeland High School","DT","","82","Signed"
"Duval KamaraVideo | Scouts Report","Hoboken, NJHoboken High School","WR","","82","Signed"
"Eugene CliffordVideo | Scouts Report","Cincinnati, OHColerain High School","S","","82","Signed"
"Stephen GarciaVideo | Scouts Report","Tampa, FLThomas Jefferson High School","QB","","82","Signed"
"Austin BoxVideo | Scouts Report","Enid, OKEnid High School","S","","82","Signed"
"Logan GrayVideo | Scouts Report","Columbia, MORock Bridge High School","QB","","82","Signed"
"John ChilesVideo | Scouts Report","Arlington, TXSummit High School","WR","","82","Signed"
"Richetti JonesVideo | Scouts Report","Dallas, TXLincoln High School","DE","","82","Signed"
"Dominique HeraldVideo | Scouts Report","Pennington, NJPennington School","S","","82","Signed"
"Andrey BaskinVideo | Scouts Report","La Mesa, CAMilford Academy","WR(POST)","","82","Signed"
"James WilsonVideo | Scouts Report","Saint Augustine, FLNease High School","OG","","82","Signed"
"Clint BrewsterVideo | Scouts Report","Littleton, COJ. K. Mullen High School","QB","","82","Signed"
"Kevin BryantVideo | Scouts Report","Hallandale Beach, FLBoyd Anderson High School","OT","","82","Signed"
"Ronald JohnsonVideo | Scouts Report","Muskegon, MIMuskegon High School","CB","","82","Signed"
"Caleb KingVideo | Scouts Report","Norcross, GAGreater Atlanta Christian School","RB","","82","Signed"
"Aaron HernandezVideo | Scouts Report","Bristol, CTBristol Central High School","TE","","81","Signed"
"Lennon CreerVideo | Scouts Report","Tatum, TXTatum High School","RB","","81","Signed"
"Phelon JonesVideo | Scouts Report","Mobile, ALMcGill-Toolen Catholic High School","CB","","81","Signed"
"DeAngelo BentonVideo | Scouts Report","Bastrop, LABastrop High School","WR","","81","Signed"
"Dewey ElliotVideo | Scouts Report","Fairfield, OHFairfield Senior High School","ILB","","81","List"
"Lee ChambersVideo | Scouts Report","Coffeeville, MSCoffeeville High School","RB","","81","Signed"
"Mike RagoneVideo | Scouts Report","Cherry Hill, NJCamden Catholic High School","TE","","81","Signed"
"Dwight JonesVideo | Scouts Report","Burlington, NCHugh M. Cummings High School","WR","","81","Signed"
"Mark BarnesVideo | Scouts Report","Columbia, SCRichland Northeast High School","S","","81","Signed"
"DeAndre McDanielVideo | Scouts Report","Tallahassee, FL","S(POST)","","81","Signed"
"Cameron NewtonVideo | Scouts Report","Atlanta, GAWestlake High School","QB","","81","Signed"
"Tim LambVideo | Scouts Report","Tallahassee, FLLincoln High School","DT","","81","Signed"
"Jarrett LeeVideo | Scouts Report","Brenham, TXBrenham High School","QB","","81","Signed"
"Joe HillsVideo | Scouts Report","Palmetto, FLPalmetto High School","WR","","81","Signed"
"Lee ZiembaVideo | Scouts Report","Rogers, ARRogers High School","OT","","81","Signed"
"Harland GunnVideo | Scouts Report","Omaha, NEOmaha Central High School","OG","","81","Signed"
"D'Angelo McCrayVideo | Scouts Report","Jacksonville, FLAndrew Jackson High School","DT","","81","Signed"
"Keenan RobinsonVideo | Scouts Report","Plano, TXPlano East Sr. High School","OLB","","81","Signed"
"Tydreke PowellVideo | Scouts Report","Ahoskie, NCHertford County High School","DT","","81","Signed"
"Ben MartinVideo | Scouts Report","Cincinnati, OHLa Salle High School","DE","","81","Signed"
"Martin ColemanVideo | Scouts Report","Huntington Beach, CAEdison High School","OT","","81","Signed"
"Jerimy FinchVideo | Scouts Report","Indianapolis, INWarren Central High School","S","","81","Signed"
"Apaiata TuihalamakaVideo | Scouts Report","Gardena, CAJunipero Serra High School","DE","","81","Signed"
"Ryan MillerVideo | Scouts Report","Littleton, COColumbine Senior High School","OT","","81","Signed"
"Kerry MurphyVideo | Scouts Report","Hoover, ALHoover High School","DT","","81","Signed"
"Dionte AllenVideo | Scouts Report","Orchard Lake, MISaint Mary's Prep School","CB","","81","Signed"
"Jamire WilliamsVideo | Scouts Report","Jacksonville, FLFirst Coast High School","CB","","81","Signed"
"Jonathan DwyerVideo | Scouts Report","Marietta, GAKell High School","RB","","81","Signed"
"Jerry HowardVideo | Scouts Report","Orlando, FLJones High School","DE","","81","Signed"
"Robert MarveVideo | Scouts Report","Tampa Bay, FLPlant Senior High School","QB","","80","Signed"
"Ted LaurentVideo | Scouts Report","Powder Springs, GAMcEachern High School","DT","","80","Signed"
"Ben WellsVideo | Scouts Report","Beaumont, TXOzen High School","CB","","80","Signed"
"William VlachosVideo | Scouts Report","Birmingham, ALMountain Brook High School","OG","","80","Signed"
"Brandon PaulVideo | Scouts Report","Tallahassee, FLLincoln High School","WR","","80","Signed"
"Chris StrongVideo | Scouts Report","Batesville, MSSouth Panola High School","ILB","","80","Signed"
"Torrey DavisVideo | Scouts Report","Seffner, FLArmwood High School","DT","","80","Signed"
"Cliff MatthewsVideo | Scouts Report","Cheraw, SCCheraw High School","DE","","80","Signed"
"Matt RomineVideo | Scouts Report","Tulsa, OKTulsa Union High School","OT","","80","Signed"
"Donovan WarrenVideo | Scouts Report","Long Beach, CALong Beach Polytechnic High School","CB","","80","Signed"
"Ryan PughVideo | Scouts Report","Birmingham, ALHoover High School","OC","","80","Signed"
"Gerald JonesVideo | Scouts Report","Oklahoma City, OKMillwood High School","CB","","80","Signed"
"Roderick DavisVideo | Scouts Report","Memphis, TNWooddale High School","WR","","80","Signed"
"Major WrightVideo | Scouts Report","Fort Lauderdale, FLSaint Thomas Aquinas High School","S","","80","Signed"
"Derrick StephensVideo | Scouts Report","Houston, TXCypress Falls High School","OLB","","80","Signed"
"Todd CampbellVideo | Scouts Report","Franklin, TNFranklin High School","WR","","80","Signed"
"Chris CulliverVideo | Scouts Report","Garner, NCGarner Senior High School","WR","","80","Signed"
"Mike WilliamsVideo | Scouts Report","Ventura, CASaint Bonaventure High School","S","","80","Signed"
"Trinton SturdivantVideo | Scouts Report","Wadesboro, NCAnson Senior High School","OT","","80","Signed"
"Bryan BulagaVideo | Scouts Report","Woodstock, ILMarian Central Catholic High","OT","","80","Signed"
"Curtis BrownVideo | Scouts Report","Gilmer, TXGilmer High School","CB","","80","Signed"
"Chris DonaldVideo | Scouts Report","Huntingdon, TNHuntingdon High School","OLB","","80","Signed"
"T-Bob HebertVideo | Scouts Report","Alpharetta, GAGreater Atlanta Christian School","OC","","80","Signed"
"Ahmard HowardVideo | Scouts Report","Brenham, TXBrenham High School","TE","","80","Signed"
"Willy KornVideo | Scouts Report","Duncan, SCJames Byrnes High School","QB","","80","Signed"
"Malcolm WilliamsVideo | Scouts Report","Garland, TXGarland High School","S","","80","Signed"
"Shomari ClemonsVideo | Scouts Report","West Monroe, LAWest Monroe High School","ILB(LQ)","","80","Signed"
"Mark DellVideo | Scouts Report","Farmington Hills, MIHarrison High School","WR","","79","Signed"
"Conrad ObiVideo | Scouts Report","Loganville, GAGrayson High School","DE","","79","Signed"
"Rolando MelanconVideo | Scouts Report","Lutcher, LALutcher High School","DT","","79","Signed"
"Bo WilliamsVideo | Scouts Report","Oakland Park, FLNortheast High School","RB","","79","Signed"
"DaJohn HarrisVideo | Scouts Report","Gardena, CAJunipero Serra High School","DT","","79","Signed"
"John ClayVideo | Scouts Report","Racine, WIRacine Park High School","RB","","79","Signed"
"Michael KeckVideo | Scouts Report","Harrisonville, MOHarrisonville High School","DE","","79","Signed"
"Kamar AikenVideo | Scouts Report","Hollywood, FLChaminade-Madonna College Prep","WR","","79","Signed"
"Kenny RoweVideo | Scouts Report","Long Beach, CALong Beach Polytechnic High School","DE","","79","Signed"
"Christian BallardVideo | Scouts Report","Lawrence, KSLawrence Free State High School","TE","","79","Signed"
"Anthony DavisVideo | Scouts Report","Piscataway, NJPiscataway High School","OG","","79","Signed"
"Sam AchoVideo | Scouts Report","Dallas, TXSaint Mark's School","DE","","79","Signed"
"Chaz RamseyVideo | Scouts Report","Madison, MSMadison Central High School","OC","","79","Signed"
"Rob GronkowskiVideo | Scouts Report","Pittsburgh, PAWoodland Hills High School","TE","","79","Signed"
"Derrick MorganVideo | Scouts Report","Coatesville, PACoatesville High School","DE","","79","Signed"
"Luther DavisVideo | Scouts Report","West Monroe, LAWest Monroe High School","DE","","79","Signed"
"Doug WigginsVideo | Scouts Report","Miami, FLNorth Miami High School","CB","","79","Signed"
"Demetrius GoodeVideo | Scouts Report","LaGrange, GAHargrave Military Academy","RB(POST)","","79","Signed"
