Rank,Full Name,Last Name,First Name,Position,Grade
1,Byron Cowart,Cowart,Byron,DE,93
2,Terry Beckner Jr.,Beckner Jr.,Terry,DT,93
3,Trenton Thompson,Thompson,Trenton,DT,93
4,Iman Marshall,Marshall,Iman,CB,92
5,Martez Ivey,Ivey,Martez,OT,92
6,Daylon Mack,Mack,Daylon,DT,91
7,George Campbell,Campbell,George,ATH,91
8,Derwin James,James,Derwin,S,91
9,CeCe Jefferson,Jefferson,CeCe,DE,90
10,Kevin Toliver II,Toliver II,Kevin,CB,90
11,Josh Sweat,Sweat,Josh,DE,90
12,Kendall Sheffield,Sheffield,Kendall,CB,90
13,Kyler Murray,Murray,Kyler,QB,90
14,Blake Barnett,Barnett,Blake,QB,90
15,Canton Kaumatule,Kaumatule,Canton,DE,90
16,Torrance Gibson,Gibson,Torrance,ATH,90
17,Justin Hilliard,Hilliard,Justin,OLB,90
18,Mitch Hyatt,Hyatt,Mitch,OT,90
19,Bo Scarbrough,Scarbrough,Bo,ATH,90
20,Tim Settle,Settle,Tim,DT,90
21,Kerryon Johnson,Johnson,Kerryon,ATH,90
22,Chuma Edoga,Edoga,Chuma,OT,89
23,Keisean Lucier-South,Lucier-South,Keisean,DE,89
24,Calvin Ridley,Ridley,Calvin,WR,89
25,Arden Key,Key,Arden,DE,89
26,Deon Cain,Cain,Deon,WR,89
27,Kahlil McKenzie,McKenzie,Kahlil,DT,88
28,Minkah Fitzpatrick,Fitzpatrick,Minkah,CB,88
29,Soso Jamabo,Jamabo,Soso,ATH,88
30,Roquan Smith,Smith,Roquan,OLB,88
31,Tyron Johnson,Johnson,Tyron,WR,88
32,Malik Jefferson,Jefferson,Malik,OLB,88
33,Christian Wilkins,Wilkins,Christian,DT,88
34,Jashon Cornell,Cornell,Jashon,DE,88
35,Ronald Jones II,Jones II,Ronald,RB,88
36,Christian Kirk,Kirk,Christian,WR,88
37,Damien Harris,Harris,Damien,RB,88
38,Jarrett Stidham,Stidham,Jarrett,QB,87
39,Preston Williams,Williams,Preston,WR,87
40,Shy Tuttle,Tuttle,Shy,DT,87
41,Jamal Peters,Peters,Jamal,S,87
42,Rasheem Green,Green,Rasheem,DT,87
43,Deondre Francois,Francois,Deondre,QB,87
44,Terry Godwin,Godwin,Terry,ATH,87
45,Da'Vante Phillips,Phillips,Da'Vante,WR,86
46,Brandon Wimbush,Wimbush,Brandon,QB,86
47,Jeffery Holland,Holland,Jeffery,OLB,86
48,Tarvarus McFadden,McFadden,Tarvarus,CB,86
49,Da'Ron Payne,Payne,Da'Ron,DT,86
50,Jacques Patrick,Patrick,Jacques,RB,86
51,Josh Rosen,Rosen,Josh,QB,86
52,Breiden Fehoko,Fehoko,Breiden,DT,86
53,Alize Jones,Jones,Alize,TE,86
54,Taj Griffin,Griffin,Taj,RB,86
55,Adonis Thomas,Thomas,Adonis,OLB,85
56,Abdul Bello,Bello,Abdul,OT,85
57,John Houston Jr.,Houston Jr.,John,ILB,85
58,DaMarkus Lodge,Lodge,DaMarkus,WR,85
59,Drew Richmond,Richmond,Drew,OT,85
60,Daylon Charlot,Charlot,Daylon,WR,85
61,Leo Lewis,Lewis,Leo,ILB,85
62,Jonathan Ledbetter,Ledbetter,Jonathan,DT,84
63,Richard McBryde,McBryde,Richard,OLB,84
64,Equanimeous St. Brown,St. Brown,Equanimeous,WR,84
65,Jalen Dalton,Dalton,Jalen,DE,84
66,Deionte Thompson,Thompson,Deionte,S,84
67,Anthony Wheeler,Wheeler,Anthony,ILB,84
68,Jerome Baker,Baker,Jerome,OLB,84
69,Alex Ofodile,Ofodile,Alex,WR,84
70,Fred Ulu-Perry Jr.,Ulu-Perry Jr.,Fred,OG,84
71,Kyle Phillips,Phillips,Kyle,DE,84
72,Maea Teuhema,Teuhema,Maea,OG,84
73,John Kolar,Kolar,John,QB,84
74,Javon Patterson,Patterson,Javon,OG,84
75,P.J. Mbanasor,Mbanasor,P.J.,CB,84
76,Rashad Roundtree,Roundtree,Rashad,S,84
77,Jalin Barnett,Barnett,Jalin,OG,84
78,Osa Masina,Masina,Osa,OLB,84
79,Dexter Williams,Williams,Dexter,RB,84
80,Brady White,White,Brady,QB,84
81,Johnny Frasier,Frasier,Johnny,RB,84
82,Micah Abernathy,Abernathy,Micah,CB,84
83,Jake Browning,Browning,Jake,QB,84
84,Adam McLean,McLean,Adam,DT,83
85,Jordan Colbert,Colbert,Jordan,OLB,83
86,Tyler Petite,Petite,Tyler,TE,83
87,Brandon Kennedy,Kennedy,Brandon,OG,83
88,Chidi Valentine-Okeke,Valentine-Okeke,Chidi,OT,83
89,Mekhi Brown,Brown,Mekhi,OLB,83
90,Jake Fruhmorgen,Fruhmorgen,Jake,OT,83
91,Eric Glover-Williams,Glover-Williams,Eric,ATH,83
92,Keenan Walker,Walker,Keenan,OT,83
93,Porter Gustin,Gustin,Porter,ATH,83
94,L.J. Scott,Scott,L.J.,RB,83
95,Matt Burrell Jr.,Burrell Jr.,Matt,OG,83
96,Tristan Payton,Payton,Tristan,WR,83
97,Derrius Guice,Guice,Derrius,RB,83
98,DeShon Elliott,Elliott,DeShon,S,83
99,Jovon Robinson,Robinson,Jovon,RB,83
100,Hjalte Froholdt,Froholdt,Hjalte,DT,83
101,Marvell Tell,Tell,Marvell,S,83
102,Lester Cotton,Cotton,Lester,OG,83
103,Brandon Martin,Martin,Brandon,WR,83
104,Chris Warren III,Warren III,Chris,RB,83
105,Tyree St. Louis,St. Louis,Tyree,OT,83
106,DeSherrius Flowers,Flowers,DeSherrius,RB,83
107,Joshua Wariboko,Wariboko,Joshua,OG,83
108,Jack Jones,Jones,Jack,OT,83
