Rank,Full Name,Last Name,First Name,Position,Grade
1883,Jake Roh,Roh,Jake,WR,70
1884,Matt Meyer,Meyer,Matt,OT,70
1885,Demaris Peppers,Peppers,Demaris,DT,70
1886,Tanner Shipley,Shipley,Tanner,WR,70
1887,Hunter Murray,Murray,Hunter,OT,70
1888,Devin Holiday,Holiday,Devin,ATH,70
1889,Taylor Marini,Marini,Taylor,TE,70
1890,Shahid Hoover,Hoover,Shahid,RB,70
1891,Drew Wolitarsky,Wolitarsky,Drew,WR,70
1892,Evan Duke,Duke,Evan,DE,70
1893,Tim Longmire,Longmire,Tim,RB,70
1894,Bryan Ajumobi,Ajumobi,Bryan,WR,70
1895,Charleston White,White,Charleston,WR,70
1896,Jarren Johnson,Johnson,Jarren,WR,70
1897,Breon Borders,Borders,Breon,CB,70
1898,Diante Cherry,Cherry,Diante,WR,70
1899,Charles Mack,Mack,Charles,ATH,70
1900,Patrick Green,Green,Patrick,OLB,70
1901,Evan Jansen,Jansen,Evan,TE,70
1902,Austin Berk,Berk,Austin,DE,70
1903,Alton Meeks,Meeks,Alton,ATH,70
1904,Montrel Meander,Meander,Montrel,S,70
1905,Brendan Douglas,Douglas,Brendan,FB,70
1906,Demetrius Lofton,Lofton,Demetrius,DE,70
1907,Lance Burlingame,Burlingame,Lance,DT,70
1908,Jonathan Burton,Burton,Jonathan,OT,70
1909,David Ajamu,Ajamu,David,TE,70
1910,Cole Segraves,Segraves,Cole,QB,70
1911,John Lisella,Lisella,John,OG,70
1912,Jalen Edwards,Edwards,Jalen,WR,70
1913,Brogan Roback,Roback,Brogan,QB,70
1914,Jahad Thomas,Thomas,Jahad,ATH,70
1915,Curtis Cothran,Cothran,Curtis,DE,70
1916,Tyler Provo,Provo,Tyler,FB,70
1917,Dezwan Polk-Campbell,Polk-Campbell,Dezwan,OLB,70
1918,Ryan Severson,Severson,Ryan,RB,70
1919,Michael Steinhauer,Steinhauer,Michael,DT,70
1920,Chris Burton,Burton,Chris,TE,70
1921,Mason Darrow,Darrow,Mason,OT,70
1922,Kevin Kavalec,Kavalec,Kevin,DE,70
1923,Jullian Taylor,Taylor,Jullian,DE,70
1924,Shaquem Griffin,Griffin,Shaquem,S,70
1925,Anthony Young,Young,Anthony,S,70
1926,Jarrid Lloyd,Lloyd,Jarrid,OT,70
1927,Austin Niswander,Niswander,Austin,ATH,70
1928,Josh Tapscott,Tapscott,Josh,ATH,70
1929,Tanner Thrift,Thrift,Tanner,DT,70
1930,Reid Najvar,Najvar,Reid,OG,70
1931,Malik Mitchell,Mitchell,Malik,WR,70
1932,Jalen Rhodes,Rhodes,Jalen,RB,70
1933,Quez Johnson,Johnson,Quez,QB,70
1934,Corey Winfield,Winfield,Corey,WR,70
1935,Cullen Casey,Casey,Cullen,DT,70
1936,Javin Webb,Webb,Javin,RB,70
1937,Garrett Kaufman,Kaufman,Garrett,ILB,70
1938,Timothy Coleman,Coleman,Timothy,DE,70
1939,Dominick Johnson,Johnson,Dominick,ATH,70
1940,Todd Stafford,Stafford,Todd,QB,70
1941,Jake Smirk,Smirk,Jake,DE,70
1942,Bentlee Critcher,Critcher,Bentlee,K,70
1943,Jack Tocho,Tocho,Jack,CB,70
1944,Joey Verhaegh,Verhaegh,Joey,QB,70
1945,Nate Hoff,Hoff,Nate,DT,70
1946,Tyler Combs,Combs,Tyler,OT,70
1947,Ricky Davis,Davis,Ricky,QB,70
1948,Kolney Cassel,Cassel,Kolney,QB,69
1949,Zach Poker,Poker,Zach,TE,69
1950,Matt Hubley,Hubley,Matt,ATH,69
1951,Brendan O'Neil,O'Neil,Brendan,TE,69
1952,Austin Chipoletti,Chipoletti,Austin,QB,69
1953,James Crawford,Crawford,James,S,69
1954,Peter Ngobidi,Ngobidi,Peter,DE,69
1955,Ryan Glenn,Glenn,Ryan,OG,69
1956,Mackay Lowrie,Lowrie,Mackay,QB,69
1957,Luca Bruno,Bruno,Luca,OG,69
1958,Ronnie Thomas,Thomas,Ronnie,WR,69
1959,Jerome Lane,Lane,Jerome,ATH,69
1960,Tyler Winston,Winston,Tyler,WR,69
1961,Kivon Coman,Coman,Kivon,S,69
1962,Jimal McBride,McBride,Jimal,DT,69
1963,Anthony Lauro,Lauro,Anthony,ATH,69
1964,Jakarrie Washington,Washington,Jakarrie,CB,69
1965,Darius Lemora,Lemora,Darius,S,69
1966,Kendal Vickers,Vickers,Kendal,DE,69
1967,Mark Wilson,Wilson,Mark,DE,69
1968,Tanner Hartman,Hartman,Tanner,OG,69
1969,Isaiah Johnson,Johnson,Isaiah,DT,69
1970,Drake Martinez,Martinez,Drake,ATH,69
1971,Jordan Hinojosa,Hinojosa,Jordan,DT,69
1972,Justin Sweet,Sweet,Justin,CB,69
1973,Jalen Battle,Battle,Jalen,S,69
1974,Johnny Ward,Ward,Johnny,CB,69
1975,Woody Quinn,Quinn,Woody,TE,69
1976,Markell Sanders,Sanders,Markell,S,69
1977,Tyler Haddock,Haddock,Tyler,DT,69
1978,Eric Wiafe,Wiafe,Eric,DE,69
1979,Chandler Burkett,Burkett,Chandler,DE,69
1980,Matt Stuart,Stuart,Matt,QB,69
1981,Parker Cothren,Cothren,Parker,DT,69
1982,Johnny Thompson,Thompson,Johnny,DE,69
1983,J.D. Krill,Krill,J.D.,TE,69
1984,Lamel Matthews,Matthews,Lamel,QB,69
1985,Terrell Hartsfield,Hartsfield,Terrell,DE,69
1986,Johnny Daniels,Daniels,Johnny,DT,69
1987,Nathan DeBeikes,DeBeikes,Nathan,RB,69
1988,Kris White,White,Kris,QB,69
1989,Xavier Swinton,Swinton,Xavier,S,69
1990,Jordan Heiderman,Heiderman,Jordan,DT,69
1991,Joshua Okonye,Okonye,Joshua,CB,69
1992,Artemis Robinson,Robinson,Artemis,OLB,69
1993,Paul Elvira,Elvira,Paul,WR,69
1994,Devon Earl,Earl,Devon,CB,69
1995,Tommy Myers,Myers,Tommy,TE,69
1996,Ja'Wuan Woodley,Woodley,Ja'Wuan,RB,69
1997,Boeing Brown,Brown,Boeing,QB,69
1998,Quinn Thompson,Thompson,Quinn,TE,69
1999,Billy Aaron Jr.,Aaron Jr.,Billy,ATH,69
2000,Lamar Jordan,Jordan,Lamar,ATH,69
2001,Josh Kirkland,Kirkland,Josh,OLB,69
2002,Montell Cozart,Cozart,Montell,QB,69
2003,Dondre Alexander,Alexander,Dondre,WR,69
2004,Trey Washington,Washington,Trey,CB,69
2005,Ike Boettger,Boettger,Ike,TE,69
2006,Kurt Benkert,Benkert,Kurt,QB,69
2007,Kaimana Nacua,Nacua,Kaimana,QB,69
2008,Darren Hambrick,Hambrick,Darren,ILB,69
2009,Lincoln Stewart,Stewart,Lincoln,ILB,69
2010,Jordan Budwig,Budwig,Jordan,OG,69
2011,Daquin Moore,Moore,Daquin,WR,69
2012,Bruce Hector,Hector,Bruce,DT,69
2013,Carson O'Connell,O'Connell,Carson,OC,69
2014,Reese Phillips,Phillips,Reese,QB,69
2015,Tanner Lee,Lee,Tanner,QB,69
2016,Patrick Dougherty,Dougherty,Patrick,DT,69
2017,Terrance Toney,Toney,Terrance,S,69
2018,Tyson Reinke,Reinke,Tyson,DT,69
2019,Brendan Turelli,Turelli,Brendan,LS,69
2020,Dajon Williams,Williams,Dajon,QB,69
2021,Miles Bergner,Bergner,Miles,K,69
2022,Emilio Nadelman,Nadelman,Emilio,K,69
2023,Justin Bridges-Thompson,Bridges-Thompson,Justin,OLB,69
2024,Patrick Pettis,Pettis,Patrick,WR,69
2025,Keegan Hicks,Hicks,Keegan,OG,69
2026,Lee Seung Jae,Seung Jae,Lee,K,69
2027,Luke Jackson,Jackson,Luke,K,69
