Rank,Full Name,Last Name,First Name,Position,Grade
1,Trey Smith,Smith,Trey,OT,93
2,Isaiah Wilson,Wilson,Isaiah,OT,93
3,Najee Harris,Harris,Najee,RB,93
4,Jaelan Phillips,Phillips,Jaelan,OLB,92
5,Robert Beal,Beal,Robert,DE,92
6,Dylan Moses,Moses,Dylan,ATH,92
7,Marvin Wilson,Wilson,Marvin,DT,91
8,Jeffrey Okudah,Okudah,Jeffrey,S,91
9,Alex Leatherwood,Leatherwood,Alex,OT,90
10,DeAngelo Gibbs,Gibbs,DeAngelo,ATH,90
11,Richard LeCounte III,LeCounte III,Richard,S,90
12,Shaun Wade,Wade,Shaun,CB,89
13,Austin Deculus,Deculus,Austin,OT,89
14,Foster Sarell,Sarell,Foster,OT,89
15,Joseph Lewis,Lewis,Joseph,WR,88
16,Tyler Shelvin,Shelvin,Tyler,DT,88
17,Joshua Kaindoh,Kaindoh,Joshua,DE,88
18,Phidarian Mathis,Mathis,Phidarian,DT,88
19,Calvin Ashley,Ashley,Calvin,OT,88
20,Tee Higgins,Higgins,Tee,WR,88
21,Jerry Jeudy,Jeudy,Jerry,WR,88
22,Hunter Johnson,Johnson,Hunter,QB,88
23,Josh Myers,Myers,Josh,OG,87
24,Kary Vincent,Vincent,Kary,CB,87
25,JaCoby Stevens,Stevens,JaCoby,ATH,87
26,Cam Akers,Akers,Cam,RB,87
27,D.J. Johnson,Johnson,D.J.,DE,87
28,Baron Browning,Browning,Baron,OLB,87
29,Chase Young,Young,Chase,DE,87
30,Trevon Grimes,Grimes,Trevon,WR,87
31,Donovan Peoples-Jones,Peoples-Jones,Donovan,WR,86
32,Brock Wright,Wright,Brock,TE,86
33,Stanford Samuels,Samuels,Stanford,CB,86
34,Wyatt Davis,Davis,Wyatt,OG,86
35,LaBryan Ray,Ray,LaBryan,DT,86
36,Jamyest Williams,Williams,Jamyest,CB,86
37,Andrew Thomas,Thomas,Andrew,OT,86
38,Darnay Holmes,Holmes,Darnay,CB,86
39,Colby Parkinson,Parkinson,Colby,TE,86
40,Stephen Carr,Carr,Stephen,RB,86
41,J.K. Dobbins,Dobbins,J.K.,RB,86
42,Dylan McCaffrey,McCaffrey,Dylan,QB,85
43,James Robinson IV,Robinson IV,James,WR,85
44,Jack Anderson,Anderson,Jack,OG,85
45,Tedarrell Slaton,Slaton,Tedarrell,OT,85
46,Thomas Graham Jr.,Graham Jr.,Thomas,CB,85
47,Markail Benton,Benton,Markail,OLB,85
48,William Poole III,Poole III,William,CB,85
49,Isaiah Pryor,Pryor,Isaiah,S,85
50,Kellen Mond,Mond,Kellen,QB,85
51,Alijah Vera-Tucker,Vera-Tucker,Alijah,OT,85
52,Greg Rogers,Rogers,Greg,DT,85
53,K'Lavon Chaisson,Chaisson,K'Lavon,DE,85
54,Austin Jackson,Jackson,Austin,OT,85
55,Grant Delpit,Delpit,Grant,S,85
56,Robert Hainsey,Hainsey,Robert,OG,85
57,Tua Tagovailoa,Tagovailoa,Tua,QB,85
58,Lowell Narcisse,Narcisse,Lowell,QB,84
59,Tony Gray,Gray,Tony,OT,84
60,Anthony McFarland,McFarland,Anthony,RB,84
61,Cyrus Fagan,Fagan,Cyrus,S,84
62,A.J. Epenesa,Epenesa,A.J.,DE,84
63,Aubrey Solomon,Solomon,Aubrey,DT,84
64,Khalan Laborn,Laborn,Khalan,RB,84
65,D.D. Bowie,Bowie,D.D.,WR,84
66,D'Andre Swift,Swift,D'Andre,RB,84
67,Anthony Hines III,Hines III,Anthony,ILB,84
68,Akial Byers,Byers,Akial,DT,84
69,Robert Burns,Burns,Robert,RB,84
70,D.J. Matthews,Matthews,D.J.,WR,84
71,Chevin Calloway,Calloway,Chevin,CB,84
72,Justin Foster,Foster,Justin,OLB,84
73,Tylan Wallace,Wallace,Tylan,WR,84
74,Malik Herring,Herring,Malik,DE,84
75,Daniel Wright,Wright,Daniel,S,84
76,Jalen Reagor,Reagor,Jalen,WR,84
77,Lagaryonn Carson,Carson,Lagaryonn,DE,84
78,Tyjon Lindsey,Lindsey,Tyjon,WR,84
79,C.J. Avery,Avery,C.J.,S,84
80,Sean Clifford,Clifford,Sean,QB,84
81,Trey Sermon,Sermon,Trey,RB,84
82,Daquon Green,Green,Daquon,WR,84
83,Hunter Echols,Echols,Hunter,DE,84
84,Austin Troxell,Troxell,Austin,OT,84
85,N'Kosi Perry,Perry,N'Kosi,QB,84
86,Todd Harris,Harris,Todd,S,84
87,Maleik Gray,Gray,Maleik,OLB,84
88,Cesar Ruiz,Ruiz,Cesar,OC,84
89,Markaviest Bryant,Bryant,Markaviest,DE,84
90,Tyrese Robinson,Robinson,Tyrese,OG,84
91,Jeremiah Holloman,Holloman,Jeremiah,WR,84
92,Markquese Bell,Bell,Markquese,ATH,84
93,Ryan Kelley,Kelley,Ryan,QB,84
94,Edward Ingram,Ingram,Edward,OG,84
95,Nathan Proctor,Proctor,Nathan,OLB,84
96,Luiji Vilain,Vilain,Luiji,DE,84
97,Xavier McKinney,McKinney,Xavier,S,84
98,Jedrick Wills,Wills,Jedrick,OG,84
99,Paris Ford,Ford,Paris,ATH,84
100,Navaughn Donaldson,Donaldson,Navaughn,OG,84
101,Toneil Carter,Carter,Toneil,RB,84
102,Amari Rodgers,Rodgers,Amari,WR,84
103,Jeff Thomas,Thomas,Jeff,WR,84
104,Walker Little,Little,Walker,OT,84
105,Saiid Adebo,Adebo,Saiid,WR,84
106,Davis Mills,Mills,Davis,QB,84
107,Tate Martell,Martell,Tate,QB,83
108,Jay Tufele,Tufele,Jay,DT,83
109,Jake Fromm,Fromm,Jake,QB,83
110,Salvon Ahmed,Ahmed,Salvon,RB,83
111,A.J. Terrell,Terrell,A.J.,CB,83
112,Kai-Leon Herbert,Herbert,Kai-Leon,OT,83
113,Shi Smith,Smith,Shi,WR,83
114,Marlon Tuipulotu,Tuipulotu,Marlon,DT,83
115,Haskell Garrett,Garrett,Haskell,DT,83
116,Hezekiah Jones,Jones,Hezekiah,WR,83
117,Jarez Parks,Parks,Jarez,DE,83
118,Greg Johnson,Johnson,Greg,ATH,83
119,Justin Broiles,Broiles,Justin,CB,83
120,Travis Etienne,Etienne,Travis,RB,83
121,Malcolm Askew,Askew,Malcolm,ATH,83
122,Cole Kmet,Kmet,Cole,TE,83
123,Levi Jones,Jones,Levi,OLB,83
124,Jordan Anthony,Anthony,Jordan,ATH,83
125,Devon Hunter,Hunter,Devon,S,83
126,Marcus Williamson,Williamson,Marcus,CB,83
127,Leonard Warner,Warner,Leonard,ILB,83
128,Tray Bishop,Bishop,Tray,ATH,83
129,Drew Singleton,Singleton,Drew,ILB,83
130,C.J. Thorpe,Thorpe,C.J.,OG,83
131,Zachary Carter,Carter,Zachary,DE,83
132,Tyrell Shavers,Shavers,Tyrell,WR,83
133,D'Antne Demery,Demery,D'Antne,OT,83
134,Ryan Johnson,Johnson,Ryan,DE,83
135,Chuck Filiaga,Filiaga,Chuck,OT,83
136,Jerron Cage,Cage,Jerron,DT,83
137,Jack Sears,Sears,Jack,QB,83
138,Amir Riep,Riep,Amir,CB,83
139,A.J. Davis,Davis,A.J.,RB,83
140,Jhamon Ausbon,Ausbon,Jhamon,WR,83
141,Netori Johnson,Johnson,Netori,OG,83
142,Fred Hansard,Hansard,Fred,DT,83
143,Christopher Henderson,Henderson,Christopher,ATH,83
144,Myles Brennan,Brennan,Myles,QB,83
145,Sam Ehlinger,Ehlinger,Sam,QB,83
146,Tommy Devito,Devito,Tommy,QB,83
147,Matt Bockhorst,Bockhorst,Matt,OG,82
148,Chris Allen,Allen,Chris,OLB,82
149,Jake Moretti,Moretti,Jake,OT,82
150,Avery Davis,Davis,Avery,QB,82
151,Wes Harris,Harris,Wes,OG,82
152,Breon Dixon,Dixon,Breon,OLB,82
153,Ta'quon Graham,Graham,Ta'quon,DE,82
154,Zaquandre White,White,Zaquandre,RB,82
155,Daulton Hyatt,Hyatt,Daulton,QB,82
156,Adarius Lemons,Lemons,Adarius,RB,82
157,Ryan Jones,Jones,Ryan,WR,82
158,Alex Perry,Perry,Alex,CB,82
159,Nico Collins,Collins,Nico,WR,82
160,Willie Gay,Gay,Willie,OLB,82
161,Damion Miller,Miller,Damion,WR,82
162,Henry Bainivalu,Bainivalu,Henry,OT,82
163,Deon Jones,Jones,Deon,CB,82
164,Josh Lugg,Lugg,Josh,OT,82
165,Nick Brahms,Brahms,Nick,OG,82
166,Shawn Robinson,Robinson,Shawn,QB,82
167,Deommodore Lenoir,Lenoir,Deommodore,CB,82
168,Billy Ross,Ross,Billy,OT,82
169,Jake Allen,Allen,Jake,QB,82
170,Jaden Hunter,Hunter,Jaden,OLB,82
171,Ja'Raymond Hall,Hall,Ja'Raymond,OT,82
172,Dalyn Wade-Perry,Wade-Perry,Dalyn,DT,82
173,Bryan Jones,Jones,Bryan,DE,82
174,Ja'len Parks,Parks,Ja'len,DT,82
175,Todd Sibley,Sibley,Todd,RB,82
176,Tyler Beach,Beach,Tyler,OT,82
177,Jake Marwede,Marwede,Jake,TE,82
178,Aaron Sterling,Sterling,Aaron,DT,82
179,Mark Webb,Webb,Mark,WR,82
180,Chase Garbers,Garbers,Chase,QB,82
181,Jake Lawler,Lawler,Jake,DE,82
182,Josh Falo,Falo,Josh,TE,82
183,Stephan Zabie,Zabie,Stephan,OT,82
184,David Adams,Adams,David,ILB,82
185,Darnell Ewell,Ewell,Darnell,OG,82
186,Bailey Hockman,Hockman,Bailey,QB,82
187,Terrell Bynum,Bynum,Terrell,WR,82
188,Brett Neilon,Neilon,Brett,OG,82
189,Walter Grant,Grant,Walter,ILB,82
190,Montaric Brown,Brown,Montaric,S,82
191,Mannie Netherly,Netherly,Mannie,WR,82
192,Brad Stewart,Stewart,Brad,S,82
193,Levi Draper,Draper,Levi,ILB,82
194,Bruce Jordan-Swilling,Jordan-Swilling,Bruce,RB,82
