Rank,Full Name,Last Name,First Name,Position,Grade,Home Town,Home State
1,Jadeveon Clowney,Clowney,Jadeveon,DE,95,Rock Hill,SC
2,Anthony Johnson,Johnson,Anthony,DT,87,New Orleans,LA
3,Cyrus Kouandjio,Kouandjio,Cyrus,OT,87,Hyattsville,MD
4,Isaiah Crowell,Crowell,Isaiah,RB,86,Columbus,GA
5,Karlos Williams,Williams,Karlos,S,86,Davenport,FL
6,Christian Westerman,Westerman,Christian,OT,86,Chandler,AZ
7,Malcolm Brown,Brown,Malcolm,RB,86,Cibolo,TX
8,La'El Collins,Collins,La'El,OT,85,Baton Rouge,LA
9,Tony Steward,Steward,Tony,ILB,85,Saint Augustine,FL
10,Jeff Driskel,Driskel,Jeff,QB,85,Oviedo,FL
11,Aaron Green,Green,Aaron,RB,85,San Antonio,TX
12,George Farmer,Farmer,George,WR,85,Gardena,CA
13,Ray Drew,Drew,Ray,DE,85,Thomasville,GA
14,Charone Peake,Peake,Charone,WR,85,Roebuck,SC
15,Aaron Lynch,Lynch,Aaron,DE,84,Cape Coral,FL
16,De'Anthony Thomas,Thomas,De'Anthony,ATH,84,Los Angeles,CA
17,Tim Jernigan,Jernigan,Tim,DT,84,Lake City,FL
18,Jay Rome,Rome,Jay,TE,84,Valdosta,GA
19,Ha'Sean Clinton-Dix,Clinton-Dix,Ha'Sean,S,84,Orlando,FL
20,Nick O'Leary,O'Leary,Nick,TE,83,Palm Beach Gardens,FL
21,Quandre Diggs,Diggs,Quandre,CB,83,Angleton,TX
22,Xzavier Dickson,Dickson,Xzavier,DE,83,Griffin,GA
23,Martavis Bryant,Bryant,Martavis,WR,83,Anderson,SC
24,Devon Blackmon,Blackmon,Devon,ATH,83,Fontana,CA
25,Anthony Chickillo,Chickillo,Anthony,DE,83,Tampa,FL
26,Bobby Hart,Hart,Bobby,OT,83,Fort Lauderdale,FL
27,Gabe Wright,Wright,Gabe,DT,82,Columbus,GA
28,Giorgio Newberry,Newberry,Giorgio,ATH,82,Fort Pierce,FL
29,Savon Huggins,Huggins,Savon,RB,82,Jersey City,NJ
30,James Wilder Jr.,Wilder Jr.,James,ATH,82,Tampa Bay,FL
31,Steve Miller,Miller,Steve,DE,82,Canton,OH
32,Desmond Jackson,Jackson,Desmond,DT,82,Houston,TX
33,Stephone Anthony,Anthony,Stephone,OLB,82,Wadesboro,NC
34,Antwaun Woods,Woods,Antwaun,DT,82,Woodland Hills,CA
35,Cyrus Hobbi,Hobbi,Cyrus,OG,82,Scottsdale,AZ
36,Brandon Williams,Williams,Brandon,RB,82,Brookshire,TX
37,Travon Van,Van,Travon,ATH,82,La Mesa,CA
38,Matthew Hegarty,Hegarty,Matthew,OT,82,Aztec,NM
39,Jarvis Landry,Landry,Jarvis,WR,82,Lutcher,LA
40,Trey DePriest,DePriest,Trey,OLB,82,Akron,OH
41,Sammy Watkins,Watkins,Sammy,WR,82,Fort Myers,FL
42,Quan Bray,Bray,Quan,ATH,82,LaGrange,GA
43,Bradley Sylve,Sylve,Bradley,WR,82,Port Sulphur,LA
44,Ishaq Williams,Williams,Ishaq,DE,82,Brooklyn,NY
45,Ja'Juan Story,Story,Ja'Juan,WR,81,Brooksville,FL
46,James Vaughters,Vaughters,James,ILB,81,Tucker,GA
47,Malcolm Mitchell,Mitchell,Malcolm,WR,81,Valdosta,GA
48,Curtis Grant,Grant,Curtis,ILB,81,Richmond,VA
49,Kiehl Frazier,Frazier,Kiehl,QB,81,Springdale,AR
50,Todd Barr,Barr,Todd,DT,81,Lakewood,CA
51,Gerod Holliman,Holliman,Gerod,S,81,Miami,FL
52,Jamal Turner,Turner,Jamal,ATH,81,Arlington,TX
