Rank,Full Name,Last Name,First Name,Position,Grade
1,Leonard Fournette,Fournette,Leonard,RB,95
2,Jabrill Peppers,Peppers,Jabrill,CB,95
3,Cameron Robinson,Robinson,Cameron,OT,95
4,Myles Garrett,Garrett,Myles,DE,95
5,Andrew Brown,Brown,Andrew,DT,94
6,Da'Shawn Hand,Hand,Da'Shawn,DE,94
7,Speedy Noil,Noil,Speedy,ATH,93
8,Tony Brown,Brown,Tony,CB,92
9,Adoree' Jackson,Jackson,Adoree',CB,91
10,Quin Blanding,Blanding,Quin,S,90
11,Jalen Tabor,Tabor,Jalen,CB,90
12,Bo Scarbrough,Scarbrough,Bo,ATH,90
13,Raekwon McMillan,McMillan,Raekwon,ILB,90
14,Lorenzo Carter,Carter,Lorenzo,DE,90
15,Marlon Humphrey,Humphrey,Marlon,CB,90
16,Deshaun Watson,Watson,Deshaun,QB,88
17,Malachi Dupre,Dupre,Malachi,WR,88
18,Jamal Adams,Adams,Jamal,S,88
19,Sony Michel,Michel,Sony,RB,88
20,David Sharpe,Sharpe,David,OT,88
21,Dalvin Cook,Cook,Dalvin,RB,87
22,Ermon Lane,Lane,Ermon,WR,87
23,Joseph Yearby,Yearby,Joseph,RB,87
24,Juju Smith,Smith,Juju,ATH,87
25,Solomon Thomas,Thomas,Solomon,DE,87
26,Damian Prince,Prince,Damian,OT,87
27,Laurence Jones,Jones,Laurence,S,86
28,Racean Thomas,Thomas,Racean,RB,85
29,Trey Quinn,Quinn,Trey,WR,85
30,K.D. Cannon,Cannon,K.D.,WR,85
31,Clifton Garrett,Garrett,Clifton,ILB,85
32,Kain Daub,Daub,Kain,ILB,85
33,Lorenzo Featherston,Featherston,Lorenzo,DE,85
34,Johnnie Dixon,Dixon,Johnnie,WR,85
35,Kyle Allen,Allen,Kyle,QB,85
36,Kc McDermott,McDermott,Kc,OT,85
37,Brandon Harris,Harris,Brandon,QB,85
38,D'haquille Williams,Williams,D'haquille,WR,85
39,Davion Hall,Hall,Davion,ATH,85
40,Casey Tucker,Tucker,Casey,OT,84
41,Travis Rudolph,Rudolph,Travis,WR,84
42,Sean White,White,Sean,QB,84
