"Last.Name","First.Name","Position","Rank","Full.Name","Grade","Player.Code","Team.Code","year"
"Rolle","Myron","S",1,"Myron Rolle","94",1001088,234,2006
"Harvin","Percy","WR",2,"Percy Harvin","93",1001151,235,2006
"Hazelton","Vidal","WR",3,"Vidal Hazelton","93",1003380,657,2006
"Hazelton","Vidal","WR",3,"Vidal Hazelton","93",1003380,140,2006
"Stafford","Matthew","QB",5,"Matthew Stafford","93",1001227,257,2006
"Murray","DeMarco","RB",6,"DeMarco Murray","92",1002921,522,2006
"Mays","Taylor","S",8,"Taylor Mays","92",1003367,657,2006
"Evans","Maurice","DE",11,"Maurice Evans","91",1003038,539,2006
"Mustain","Mitch","QB",12,"Mitch Mustain","91",1000194,657,2006
"Mustain","Mitch","QB",12,"Mitch Mustain","91",1000194,31,2006
"Snead","Jevan","QB",13,"Jevan Snead","91",1003781,433,2006
"Snead","Jevan","QB",13,"Jevan Snead","91",1003781,703,2006
"Tebow","Tim","QB",15,"Tim Tebow","90",1001120,235,2006
"Eugene","Jai","CB",16,"Jai Eugene","89",1001732,365,2006
"Woods","Al","DT",17,"Al Woods","89",1001764,365,2006
"Young","Sam","OT",19,"Sam Young","89",1002771,513,2006
"Warren","Brandon","TE",20,"Brandon Warren","89",1001078,694,2006
"Warren","Brandon","TE",20,"Brandon Warren","89",1001078,234,2006
"McCoy","Gerald","DT",21,"Gerald McCoy","89",1002932,522,2006
"Jones","Eddie","DE",22,"Eddie Jones","88",1003766,703,2006
"Summers","Markeith","WR",27,"Markeith Summers","87",1002185,433,2006
"Cunningham","Jermaine","DE",29,"Jermaine Cunningham","87",1001139,235,2006
"Wells","Chris","RB",30,"Chris Wells","86",1002783,518,2006
"Dickson","Richard","TE",32,"Richard Dickson","86",1001757,365,2006
"Walton","J.B.","OG",33,"J.B. Walton","86",1010688,539,2006
"McDaniel","Damon","WR",35,"Damon McDaniel","85",1001079,234,2006
"Tennell","Adron","WR",36,"Adron Tennell","85",1002927,522,2006
"Moody","Emmanuel","RB",37,"Emmanuel Moody","85",1003366,235,2006
"Ausberry","David","WR",38,"David Ausberry","85",1003361,657,2006
"Maxwell","Byron","CB",40,"Byron Maxwell","85",1000754,147,2006
"Austin","Terrence","WR",41,"Terrence Austin","85",1000630,110,2006
"McNeil","Raeshon","CB",43,"Raeshon McNeil","84",1002772,513,2006
"Aldridge","James","RB",44,"James Aldridge","84",1002753,513,2006
"Reuland","Konrad","TE",46,"Konrad Reuland","84",1002776,674,2006
"Reuland","Konrad","TE",46,"Konrad Reuland","84",1002776,513,2006
"Spiller","C.J.","RB",47,"C.J. Spiller","84",1000752,147,2006
"Dixon","Ricky","WR",48,"Ricky Dixon","84",1001717,365,2006
"Dixon","Ricky","WR",48,"Ricky Dixon","84",1029409,699,2006
"McCoy","LeSean","RB",50,"LeSean McCoy","84",1010703,545,2006
"Ross","Devin","CB",51,"Devin Ross","84",1000171,29,2006
"Locker","Jake","QB",53,"Jake Locker","83",1004473,756,2006
"Shields","Sam","WR",55,"Sam Shields","83",1001981,415,2006
"Hornsby","Jamar","S",56,"Jamar Hornsby","83",1001155,235,2006
"Brown","Carlos","RB",59,"Carlos Brown","82",1002041,418,2006
"Rose","Robert","DE",60,"Robert Rose","82",1002809,518,2006
"Sapp","Ricky","DE",61,"Ricky Sapp","82",1000767,147,2006
"Jones","Demetrius","QB",62,"Demetrius Jones","82",1002757,513,2006
"Jones","Demetrius","QB",62,"Demetrius Jones","82",1002757,140,2006
"Anderson","Justin","OT",63,"Justin Anderson","82",1009102,257,2006
"Massey","Jonathan","TE",64,"Jonathan Massey","82",1018302,664,2006
"Massey","Jonathan","TE",64,"Jonathan Massey","82",1004325,736,2006
"Mullins","Aleric","DT",65,"Aleric Mullins","82",1002330,457,2006
"Cumberland","Jeff","TE",66,"Jeff Cumberland","82",1001381,301,2006
"Payne","Phillip","WR",67,"Phillip Payne","82",1017385,465,2006
"Allen","Asher","CB",69,"Asher Allen","82",1001202,257,2006
"Schmidt","Luke","FB",72,"Luke Schmidt","82",1002751,513,2006
"Robinson","Kylan","RB",73,"Kylan Robinson","82",1001971,415,2006
"Dickerson","Dorin","WR",74,"Dorin Dickerson","82",1003062,545,2006
"Burton","Derek","DE",75,"Derek Burton","82",1002903,521,2006
"Walls","Darrin","CB",79,"Darrin Walls","82",1002744,513,2006
"Crawford","London","WR",81,"London Crawford","82",1000197,31,2006
"Wallace","A.J.","CB",82,"A.J. Wallace","82",1003015,539,2006
"Williams","Mon","RB",83,"Mon Williams","82",1001125,235,2006
"Williams","Mon","RB",83,"Mon Williams","82",1030322,201,2006
"Patterson","Adam","DE",84,"Adam Patterson","82",1002065,418,2006
"Cumbie","Jamie","DE",87,"Jamie Cumbie","82",1000768,147,2006
"Williams","Damian","WR",88,"Damian Williams","82",1000190,657,2006
"McClendon","Jacques","OG",90,"Jacques McClendon","82",1003633,694,2006
"Holland","Jamere","WR",91,"Jamere Holland","82",1003360,529,2006
"Holland","Jamere","WR",91,"Jamere Holland","82",1003360,657,2006
"Alexander","Ben","DT",94,"Ben Alexander","82",1003789,703,2006
"Smith","Lance","RB",98,"Lance Smith","81",1004641,404,2006
"Smith","Lance","RB",98,"Lance Smith","81",1004641,796,2006
"Joseph","Vincent","CB",101,"Vincent Joseph","81",1003363,657,2006
"Ricker","Jeremy","QB",102,"Jeremy Ricker","81",1001868,392,2006
"Lewis","Butch","OT",103,"Butch Lewis","81",1003379,657,2006
"Anderson","Terrance","CB",104,"Terrance Anderson","81",1002856,521,2006
"McDaniel","DeAndre","S",105,"DeAndre McDaniel","81",1008641,147,2006
"Kendricks","Lance","WR",107,"Lance Kendricks","81",1004651,796,2006
"Wilson","Tony","WR",108,"Tony Wilson","81",1001207,257,2006
"Eason","Cordera","RB",109,"Cordera Eason","81",1002191,433,2006
"Jackson","Richard","WR",111,"Richard Jackson","81",1002773,513,2006
"Jackson","Richard","WR",111,"Richard Jackson","81",1022762,128,2006
"Gresham","Jermaine","TE",112,"Jermaine Gresham","81",1002911,522,2006
"Gilbert","Marcus","OT",113,"Marcus Gilbert","81",1001150,235,2006
"Walker","Chevon","RB",114,"Chevon Walker","81",1001126,235,2006
"Walker","Chevon","RB",114,"Chevon Walker","81",1020119,201,2006
"Bell","Chris","WR",115,"Chris Bell","81",1003022,539,2006
"Antwine","Brandon","DT",116,"Brandon Antwine","81",1001138,235,2006
"Scott","Charles","RB",117,"Charles Scott","81",1001729,365,2006
"Brown","Aaron","OT",118,"Aaron Brown","81",1004372,742,2006
"Caudle","Neil","QB",121,"Neil Caudle","81",1000235,37,2006
"Miller","Prince","CB",122,"Prince Miller","81",1001204,257,2006
"Olson","Aram","FB",123,"Aram Olson","81",1002791,518,2006
"Coleman","Kurt","CB",125,"Kurt Coleman","81",1002788,518,2006
"James","Chris","WR",126,"Chris James","81",1001400,301,2006
"Mouton","Jonas","S",128,"Jonas Mouton","81",1002058,418,2006
"Whitehead","Deantwan","DE",130,"Deantwan Whitehead","80",1001824,367,2006
"Wood","Brandon","DE",131,"Brandon Wood","80",1001236,257,2006
"Rickerson","Jacques","CB",134,"Jacques Rickerson","80",1001122,235,2006
"Beal","Jeremy","DE",137,"Jeremy Beal","80",1002916,522,2006
"Smith","Toryan","ILB",138,"Toryan Smith","80",1002764,513,2006
"Piurowski","Caz","TE",140,"Caz Piurowski","80",1001083,234,2006
"Freeman","Josh","QB",141,"Josh Freeman","80",1001547,327,2006
"Fannin","Mario","RB",142,"Mario Fannin","80",1000236,37,2006
"James","Javarris","RB",143,"Javarris James","80",1001974,415,2006
"Ellis","Kenrick","DT",144,"Kenrick Ellis","80",1003312,648,2006
"Adams","Josh","RB",148,"Josh Adams","80",1004416,749,2006
"Williams","Justin","WR",149,"Justin Williams","80",84321,48,2006
"Williams","Justin","WR",149,"Justin Williams","80",1001154,235,2006
"Williams","Justin","WR",149,"Justin Williams","80",71705,670,2006
"Williams","Justin","WR",149,"Justin Williams","80",1027532,202,2006
"Williams","Justin","WR",149,"Justin Williams","80",83121,503,2006
"Williams","Justin","WR",149,"Justin Williams","80",1051753,665,2006
"Williams","Justin","WR",149,"Justin Williams","80",1028515,665,2006
"Lyon","Tyler","QB",150,"Tyler Lyon","80",1000144,29,2006
"Riley","Kevin","QB",154,"Kevin Riley","80",1000591,107,2006
"Ryan","John","DE",155,"John Ryan","80",1002777,513,2006
"Hawthorne","Tim","WR",156,"Tim Hawthorne","80",1000234,37,2006
"Chinasa","Ugo","DE",157,"Ugo Chinasa","80",1002900,521,2006
"Leon","Anthony","S",160,"Anthony Leon","80",1001086,234,2006
"Dent","Akeem","ILB",161,"Akeem Dent","80",1001216,257,2006
"Alexander","Mister","S",162,"Mister Alexander","80",1001098,234,2006
"Tripp","Kiante","OT",164,"Kiante Tripp","80",1001234,257,2006
"Macon","Pryce","DT",165,"Pryce Macon","80",1002933,522,2006
"McCray","Danny","S",169,"Danny McCray","80",1001736,365,2006
"Williams","Malcolm","S",172,"Malcolm Williams","80",1026333,698,2006
"Ensminger","Steven","QB",174,"Steven Ensminger","80",1000233,37,2006
"Ensminger","Steven","QB",174,"Steven Ensminger","80",1000233,366,2006
"Anderson","Markihe","CB",176,"Markihe Anderson","80",1001131,235,2006
"McMahon","Ryan","DT",179,"Ryan McMahon","80",1001103,234,2006
"King","Brandon","FB",180,"Brandon King","80",1007659,261,2006
"King","Brandon","FB",180,"Brandon King","80",1000892,193,2006
"Verner","Alterraun","CB",183,"Alterraun Verner","80",1000617,110,2006
"Kanuch","Brad","WR",189,"Brad Kanuch","80",1000862,164,2006
"Burkhart","Ryan","K",190,"Ryan Burkhart","80",1002756,513,2006
"Clemons","Shomari","S",192,"Shomari Clemons","80",1009533,365,2006
"Cooper","Latrael","RB",200,"Latrael Cooper","79",1003650,697,2006
"Henderson","Aundre","DT",203,"Aundre Henderson","79",1001828,367,2006
"Stirrups","Leslie","DT",204,"Leslie Stirrups","79",1025985,651,2006
"Goode","Demetrius","RB",207,"Demetrius Goode","79",1007945,8,2006
"Chichester","Josh","WR",213,"Josh Chichester","79",1009645,367,2006
"Brown","Kenny","WR",218,"Kenny Brown","79",1003646,697,2006
"Brown","Kenny","WR",218,"Kenny Brown","79",1043353,402,2006
"Cooper","Graig","RB",219,"Graig Cooper","79",1009795,415,2006
"Everett","Carlos","WR",221,"Carlos Everett","79",1027681,314,2006
"Hartline","Mike","QB",225,"Mike Hartline","79",1001694,334,2006
"Bradford","Sam","QB",226,"Sam Bradford","79",1002906,522,2006
"Gaston","Clark","FB",228,"Clark Gaston","79",1028895,2915,2006
"Gaston","Clark","FB",228,"Clark Gaston","79",1003274,648,2006
"Taylor","Phillip","DT",229,"Phillip Taylor","79",1003054,539,2006
"Collier","Kevin","RB",230,"Kevin Collier","79",1003063,545,2006
"Lawrence","Hunter","K",231,"Hunter Lawrence","79",1003757,703,2006
