"Last.Name","First.Name","Position","Rank","Full.Name","Grade","Player.Code","Team.Code","year"
"Barkley","Matt","QB",1,"Matt Barkley","93",1026022,657,2009
"McDaniel","Jacobbi","DT",5,"Jacobbi McDaniel","91",1023925,234,2009
"Richardson","Trent","RB",6,"Trent Richardson","91",1022892,8,2009
"Loston","Craig","S",7,"Craig Loston","90",1024463,365,2009
"Finley","Dee","S",8,"Dee Finley","88",1023926,235,2009
"Brown","Bryce","RB",9,"Bryce Brown","88",1026239,694,2009
"Brown","Bryce","RB",9,"Bryce Brown","88",1026239,327,2009
"Randle","Rueben","WR",11,"Rueben Randle","86",1024460,365,2009
"Gilbert","Garrett","QB",12,"Garrett Gilbert","86",1026411,663,2009
"Gilbert","Garrett","QB",12,"Garrett Gilbert","86",1026411,703,2009
"Murray","Aaron","QB",14,"Aaron Murray","86",1024001,257,2009
"Kennard","Devon","DE",15,"Devon Kennard","86",1026015,657,2009
"Reid","Greg","CB",16,"Greg Reid","85",1023905,234,2009
"Debose","Andre","WR",18,"Andre Debose","85",1023931,235,2009
"Berry","Jaamal","RB",23,"Jaamal Berry","84",1025472,518,2009
"Berry","Jaamal","RB",23,"Jaamal Berry","84",1051463,454,2009
"Brown","Gary","DT",24,"Gary Brown","84",1023950,235,2009
"Brown","Marlon","WR",25,"Marlon Brown","84",1024004,257,2009
"Winston","Darius","CB",26,"Darius Winston","84",1023060,31,2009
"Montgomery","Sam","DE",27,"Sam Montgomery","84",1024503,365,2009
"Kelley","Paden","OT",30,"Paden Kelley","83",1026420,703,2009
"Smith","Branden","CB",31,"Branden Smith","83",1023999,257,2009
"Su'a-Filo","Xavier","OT",35,"Xavier Su'a-Filo","83",1023495,110,2009
"Michael","Christine","RB",36,"Christine Michael","83",1026303,697,2009
"McCarron","A.J.","QB",37,"A.J. McCarron","83",1022888,8,2009
"Presley","Morrell","TE",38,"Morrell Presley","83",1023503,110,2009
"Myles Jr.","Darren","S",39,"Darren Myles Jr.","83",1026255,694,2009
"Evans","Shaquelle","WR",41,"Shaquelle Evans","83",1025426,110,2009
"Evans","Shaquelle","WR",41,"Shaquelle Evans","83",1025426,513,2009
"Martinez","John","OG",42,"John Martinez","83",1026021,657,2009
"Graf","Kevin","OT",44,"Kevin Graf","83",1026024,657,2009
"Carroll","Randall","WR",46,"Randall Carroll","83",1023467,110,2009
"Long","Austin","OT",47,"Austin Long","83",1024034,257,2009
"Roh","Craig","DE",48,"Craig Roh","83",1024823,418,2009
"Moses","Morgan","OT",49,"Morgan Moses","83",1034824,746,2009
"Nixon","Xavier","OT",51,"Xavier Nixon","83",1023945,235,2009
"Adams","Corey","DT",54,"Corey Adams","83",1022977,28,2009
"McFarland","Jamarkus","DT",55,"Jamarkus McFarland","83",1025609,522,2009
"Boyd","Jheranie","WR",56,"Jheranie Boyd","83",1025059,457,2009
"Davenport","Chris","DT",57,"Chris Davenport","83",1024482,365,2009
"Davenport","Chris","DT",57,"Chris Davenport","83",1024482,718,2009
"Burnette","Chris","OG",58,"Chris Burnette","82",1024031,257,2009
"Boyd","Tajh","QB",59,"Tajh Boyd","82",1023603,147,2009
"Jones","Jarvis","OLB",60,"Jarvis Jones","82",1026006,257,2009
"Givens","Darrell","CB",62,"Darrell Givens","82",1025826,587,2009
"Conner","Montrell","RB",64,"Montrell Conner","82",1024931,716,2009
"Conner","Montrell","RB",64,"Montrell Conner","82",1024931,430,2009
"Giddins","Ryne","DE",65,"Ryne Giddins","82",1025996,651,2009
"Kelly","Kendall","WR",66,"Kendall Kelly","82",1022911,8,2009
"Ealey","Washaun","RB",67,"Washaun Ealey","82",1024010,257,2009
"Ealey","Washaun","RB",67,"Washaun Ealey","82",1045944,315,2009
"Stokes","Je'Ron","WR",68,"Je'Ron Stokes","82",1024810,418,2009
"Stokes","Je'Ron","WR",68,"Je'Ron Stokes","82",1024810,485,2009
"Watt","Chris","OG",69,"Chris Watt","82",1025448,513,2009
"Barrent","David","OT",70,"David Barrent","82",1024774,416,2009
"Demps","Gerald","S",72,"Gerald Demps","82",1023910,234,2009
"Whaley","Chris","RB",73,"Chris Whaley","82",1026408,703,2009
"McNeal","Bryce","WR",74,"Bryce McNeal","82",1023611,147,2009
"McNeal","Bryce","WR",74,"Bryce McNeal","82",1023611,367,2009
"Ashcraft","Thomas","OG",78,"Thomas Ashcraft","82",1026422,703,2009
"McDonald","T.J.","S",92,"T.J. McDonald","81",1026023,657,2009
"Renner","Bryn","QB",93,"Bryn Renner","81",1025034,457,2009
"Matthews","Barrett","TE",94,"Barrett Matthews","81",1026430,703,2009
"Brehaut","Richard","QB",96,"Richard Brehaut","81",1023469,110,2009
"Benton","DeAngelo","WR",97,"DeAngelo Benton","81",1023112,37,2009
"Drummond","Craig","DE",100,"Craig Drummond","81",1024981,433,2009
"Chaisson","Justin","DE",102,"Justin Chaisson","81",1025608,522,2009
"Jeffery","Alshon","WR",104,"Alshon Jeffery","81",1025926,648,2009
"Ford","Michael","RB",106,"Michael Ford","81",1024476,365,2009
"Ford","Michael","RB",106,"Michael Ford","81",1060373,654,2009
"Martin","Zach","OT",111,"Zach Martin","81",1025450,513,2009
"Richardson","Nu'Keese","WR",113,"Nu'Keese Richardson","81",1026270,694,2009
"Baker","Edwin","RB",114,"Edwin Baker","81",1024765,416,2009
"Patterson","Pat","WR",115,"Pat Patterson","81",1024939,433,2009
"Appleton","Kraig","WR",117,"Kraig Appleton","81",1027192,796,2009
"Davis","Keenan","WR",118,"Keenan Davis","81",1024292,312,2009
"Miller","Lamar","RB",120,"Lamar Miller","81",1024729,415,2009
"Goodman","Malliciah","DE",122,"Malliciah Goodman","81",1023616,147,2009
"Mettenberger","Zach","QB",125,"Zach Mettenberger","81",1024026,365,2009
"Mettenberger","Zach","QB",125,"Zach Mettenberger","81",1024026,257,2009
"Fellows","Melvin","DE",126,"Melvin Fellows","81",1025491,518,2009
"Savage","Tom","QB",127,"Tom Savage","81",1025844,29,2009
"Savage","Tom","QB",127,"Tom Savage","81",1025844,587,2009
"Savage","Tom","QB",127,"Tom Savage","81",1025844,545,2009
"Oku","David","RB",130,"David Oku","81",1026253,30,2009
"Oku","David","RB",130,"David Oku","81",1026253,694,2009
"Alipate","Moses","QB",131,"Moses Alipate","81",1024867,428,2009
"Gillislee","Mike","RB",132,"Mike Gillislee","81",1023928,235,2009
"Carter","Duron","WR",134,"Duron Carter","81",1025490,518,2009
"Carter","Duron","WR",134,"Duron Carter","81",1038430,8,2009
"Carter","Duron","WR",134,"Duron Carter","81",1038430,229,2009
"Harris","Cliff","CB",139,"Cliff Harris","81",1025682,529,2009
"Nunes","Josh","QB",140,"Josh Nunes","81",1026160,674,2009
"Pratt","Dexter","RB",141,"Dexter Pratt","81",1025535,521,2009
"Adams","D.J.","RB",142,"D.J. Adams","81",1024629,392,2009
"Jay","J.K.","OT",143,"J.K. Jay","81",1023612,147,2009
"Reed","Jordan","QB",145,"Jordan Reed","81",1023927,235,2009
"Lacy","Eddie","RB",147,"Eddie Lacy","81",1022896,8,2009
"Forcier","Tate","QB",148,"Tate Forcier","81",1024807,418,2009
"Newton","Morgan","QB",150,"Morgan Newton","81",1024418,334,2009
"Okafor","Alex","DE",153,"Alex Okafor","80",1026423,703,2009
"Hardy","Kendrick","RB",157,"Kendrick Hardy","80",1026077,664,2009
"Marc","Victor","RB",158,"Victor Marc","80",1025965,651,2009
"Heastie","Logan","WR",159,"Logan Heastie","80",1027040,768,2009
"Budmayr","Jon","QB",162,"Jon Budmayr","80",1027181,796,2009
"Gordon","David","CB",165,"David Gordon","80",1023064,521,2009
"Hopkins","Dustin","K",166,"Dustin Hopkins","80",1023887,234,2009
"LaLota","Anthony","DE",167,"Anthony LaLota","80",1024825,418,2009
"Smith","Rodney","WR",174,"Rodney Smith","80",1023920,234,2009
"Davis","Knile","RB",177,"Knile Davis","80",1023085,31,2009
"Scruggs","Lamar","WR",178,"Lamar Scruggs","80",1025927,648,2009
"Scruggs","Lamar","WR",178,"Lamar Scruggs","80",1053170,489,2009
"Brown","Justin","WR",179,"Justin Brown","80",1036196,667,2009
"Brown","Justin","WR",179,"Justin Brown","80",1025690,539,2009
"Brown","Justin","WR",179,"Justin Brown","80",1025690,522,2009
"Dixon","Ricardo","CB",183,"Ricardo Dixon","80",1026000,651,2009
"Dixon","Ricardo","CB",183,"Ricardo Dixon","80",1052016,817,2009
"Caper","Larry","RB",184,"Larry Caper","80",1024760,416,2009
"McAdoo","Jared","DT",186,"Jared McAdoo","80",1025053,457,2009
"Battles","Bradley","RB",188,"Bradley Battles","80",1025972,651,2009
"Goodwin","Marquise","WR",189,"Marquise Goodwin","80",1026427,703,2009
"Heavens","Brandon","WR",190,"Brandon Heavens","80",1024906,430,2009
"Howell","Calvin","DT",192,"Calvin Howell","80",1026433,703,2009
"Howell","Calvin","DT",192,"Calvin Howell","80",1052500,299,2009
"Sanders","Ricco","WR",194,"Ricco Sanders","80",1024898,430,2009
"Robinson","Gene","S",196,"Gene Robinson","80",1025030,457,2009
"Roberts","Jemari","WR",197,"Jemari Roberts","80",1026164,674,2009
"Boyce","Josh","WR",198,"Josh Boyce","80",1026365,698,2009
"Reynolds","Travis","WR",199,"Travis Reynolds","80",1034666,731,2009
"Kasa","Nick","DE",200,"Nick Kasa","80",1023669,157,2009
"Jenkins","Brandon","DE",204,"Brandon Jenkins","80",1023904,234,2009
"Scott","Desmond","RB",205,"Desmond Scott","80",1023721,193,2009
"Hodges","Gerald","S",208,"Gerald Hodges","80",1025713,539,2009
"Karam","Jacob","QB",210,"Jacob Karam","80",1026395,700,2009
"Karam","Jacob","QB",210,"Jacob Karam","80",1026395,404,2009
"Hunter","D.J.","S",224,"D.J. Hunter","80",1040074,388,2009
"Carradine","Cornellius","DE",231,"Cornellius Carradine","80",1039433,234,2009
"Emilien","Vladimir","S",232,"Vladimir Emilien","80",1024806,418,2009
"Emilien","Vladimir","S",232,"Vladimir Emilien","80",1024806,709,2009
"Marrow","Mike","FB",233,"Mike Marrow","80",1022893,463,2009
"Johnson","Malcolm","WR",238,"Malcolm Johnson","80",1032840,430,2009
"Starling","Jawanza","S",241,"Jawanza Starling","80",1026010,657,2009
"Maxwell","Andrew","QB",243,"Andrew Maxwell","80",1024750,416,2009
"Jones","Abry","DE",244,"Abry Jones","80",1024043,257,2009
"Scott","Rodney","RB",245,"Rodney Scott","80",1045786,61,2009
"Scott","Rodney","RB",245,"Rodney Scott","80",1024944,433,2009
"Barnett","Eryon","CB",246,"Eryon Barnett","79",1026405,703,2009
"Barnett","Eryon","CB",246,"Eryon Barnett","79",1026405,440,2009
"McDowell","Roderick","RB",247,"Roderick McDowell","79",1023605,147,2009
"Jackson","James","WR",248,"James Jackson","79",1025459,518,2009
"Brockers","Michael","DE",249,"Michael Brockers","79",1024499,365,2009
"Smith","Jeremy","RB",254,"Jeremy Smith","79",1025542,521,2009
"Drew","John","DT",255,"John Drew","79",1023750,193,2009
"Wilson","Richard","TE",262,"Richard Wilson","79",1023337,77,2009
"Smith","Tim","WR",263,"Tim Smith","79",1026904,746,2009
"Lanier","J.C.","DT",265,"J.C. Lanier","79",1023997,255,2009
"Sims","Dion","TE",266,"Dion Sims","79",1024775,416,2009
"Boyd","James","DE",267,"James Boyd","79",1026007,465,2009
"Boyd","James","DE",267,"James Boyd","79",1026007,657,2009
"Lutzenkirchen","Philip","TE",271,"Philip Lutzenkirchen","79",1023122,37,2009
"Ward","Trabis","RB",272,"Trabis Ward","79",1045650,691,2009
"Toussaint","Fitzgerald","RB",273,"Fitzgerald Toussaint","79",1024794,418,2009
"Miller","Jonathon","RB",275,"Jonathon Miller","79",1052434,299,2009
"Pryor","Lonnie","RB",277,"Lonnie Pryor","79",1023890,234,2009
"Hyde","Carlos","RB",279,"Carlos Hyde","79",1033341,518,2009
"Wegher","Brandon","RB",283,"Brandon Wegher","79",1024281,312,2009
"Souza","Frank","DT",284,"Frank Souza","79",1026969,749,2009
"McDaniel","Eric","DT",286,"Eric McDaniel","79",1025785,559,2009
"Rollison","Tyrik","QB",288,"Tyrik Rollison","79",1035915,624,2009
"Rollison","Tyrik","QB",288,"Tyrik Rollison","79",1023100,37,2009
"Journell","Cody","K",293,"Cody Journell","79",1026887,742,2009
"Ewald","Mitch","K",296,"Mitch Ewald","79",1024214,306,2009
"Bowlin","Mike","K",298,"Mike Bowlin","79",1025659,754,2009
"Cross","Izaan","DE",299,"Izaan Cross","79",1023995,255,2009
"Lynch","Arthur","TE",300,"Arthur Lynch","79",1024040,257,2009
"Bridgford","Allan","QB",302,"Allan Bridgford","79",1023438,107,2009
"Bridgford","Allan","QB",302,"Allan Bridgford","79",1023438,664,2009
"Lowe","Daytawion","S",303,"Daytawion Lowe","79",1025564,521,2009
"Graham","Trey","TE",305,"Trey Graham","79",1026425,703,2009
"Ertz","Zach","TE",306,"Zach Ertz","79",1026166,674,2009
"Hart","Taylor","DE",315,"Taylor Hart","79",1025666,529,2009
"Sanders","Brock","TE",316,"Brock Sanders","79",1026572,718,2009
"Beaver","Shavodrick","QB",317,"Shavodrick Beaver","79",1026596,719,2009
"Hasiak","Stan","OG",318,"Stan Hasiak","79",1023504,110,2009
"Rogers","Zach","WR",319,"Zach Rogers","79",1041890,709,2009
"Rogers","Zach","WR",319,"Zach Rogers","79",1026276,694,2009
"Haulstead","Willie","WR",324,"Willie Haulstead","79",1023919,234,2009
"Ward","Eric","WR",326,"Eric Ward","79",1026375,700,2009
"Shankle","Terry","CB",328,"Terry Shankle","79",1025036,457,2009
"Fordham","Aldrick","DE",330,"Aldrick Fordham","79",1025948,648,2009
"Washington","Brandon","OG",332,"Brandon Washington","79",1003956,719,2009
"Lee","Dallas","OG",334,"Dallas Lee","79",1024029,257,2009
"Thompson","Chris","RB",335,"Chris Thompson","79",1023889,234,2009
"Williams","Toney","RB",338,"Toney Williams","79",1026256,694,2009
"Williams","Toney","RB",338,"Toney Williams","79",1026256,47,2009
"Motta","Zeke","S",339,"Zeke Motta","79",1025427,513,2009
"Stephens","Terrence","DT",342,"Terrence Stephens","79",1026170,674,2009
"Hosley","Jayron","CB",344,"Jayron Hosley","79",1026851,742,2009
"Hageman","Ra'Shede","TE",345,"Ra'Shede Hageman","79",1024891,428,2009
"Eifert","Tyler","TE",347,"Tyler Eifert","79",1025451,513,2009
