"Last.Name","First.Name","Position","Rank","Full.Name","Grade","Player.Code","Team.Code","year"
"Nkemdiche","Robert","DE",1,"Robert Nkemdiche","94",1056246,433,2013
"Lawson","Carl","DE",2,"Carl Lawson","92",1054386,37,2013
"Alexander","Mackensie","CB",4,"Mackensie Alexander","91",1054813,147,2013
"Taylor","Kelvin","RB",8,"Kelvin Taylor","90",1055163,235,2013
"Apple","Eli","CB",11,"Eli Apple","90",1056706,518,2013
"Cravens","Su'a","S",12,"Su'a Cravens","89",1057267,657,2013
"Adams","Montravius","DT",13,"Montravius Adams","89",1054365,37,2013
"Hackenberg","Christian","QB",15,"Christian Hackenberg","88",1056939,539,2013
"Fuller","Kendall","CB",18,"Kendall Fuller","88",1058145,742,2013
"Treadwell","Laquon","WR",19,"Laquon Treadwell","88",1056220,433,2013
"Browne","Max","QB",20,"Max Browne","88",1057276,657,2013
"Bigelow","Kenny","DT",21,"Kenny Bigelow","88",1057290,657,2013
"Bryant","Greg","RB",22,"Greg Bryant","88",1056670,513,2013
"Foster","Robert","WR",25,"Robert Foster","88",1054175,8,2013
"Ford","Keith","RB",27,"Keith Ford","88",1056836,522,2013
"Kamara","Alvin","RB",32,"Alvin Kamara","88",1054156,8,2013
"Daniel","Elijah","DE",34,"Elijah Daniel","87",1054399,37,2013
"Rhodes","Robbie","WR",35,"Robbie Rhodes","87",1054441,51,2013
"McQuay III","Leon","S",37,"Leon McQuay III","87",1057269,657,2013
"Green","Derrick","RB",38,"Derrick Green","87",1056088,418,2013
"Wiggins","Shaq","CB",39,"Shaq Wiggins","87",1055282,257,2013
"Conley","Gareon","CB",43,"Gareon Conley","87",1056715,518,2013
"Bateman","Cooper","QB",44,"Cooper Bateman","87",1054149,8,2013
"Howard","O.J.","TE",45,"O.J. Howard","87",1054178,8,2013
"Coley","Stacy","WR",47,"Stacy Coley","87",1056031,415,2013
"Marshall","Jalin","WR",49,"Jalin Marshall","87",1056713,518,2013
"Stringfellow","Damore'ea","WR",51,"Damore'ea Stringfellow","87",1058312,756,2013
"Robinson","Demarcus","WR",53,"Demarcus Robinson","86",1055156,235,2013
"Tyner","Thomas","RB",54,"Thomas Tyner","86",1056907,529,2013
"Collins","Alex","RB",58,"Alex Collins","86",1054335,31,2013
"Muhammad","Al-Quadin","DE",59,"Al-Quadin Muhammad","85",1056053,415,2013
"Seals-Jones","Ricky","WR",62,"Ricky Seals-Jones","85",1057585,697,2013
"Jones","Tyren","RB",64,"Tyren Jones","85",1054152,8,2013
"Burns","Ryan","QB",65,"Ryan Burns","85",1057430,674,2013
"Breneman","Adam","TE",68,"Adam Breneman","85",1056975,539,2013
"Henry","Hunter","TE",70,"Hunter Henry","85",1054361,31,2013
"Hawkins","Chris","CB",73,"Chris Hawkins","85",1001727,365,2013
"Hawkins","Chris","CB",73,"Chris Hawkins","85",1057272,657,2013
"Hooks","Lavon","DT",77,"Lavon Hooks","85",1056245,433,2013
"Perkins","Kent","OT",78,"Kent Perkins","84",1057696,703,2013
"Quick","James","WR",81,"James Quick","84",1055808,367,2013
"Tenpenny","Altee","RB",83,"Altee Tenpenny","84",1054155,8,2013
"Gilmore","Greg","DT",85,"Greg Gilmore","84",1055772,365,2013
"Fitts","Kylie","DE",87,"Kylie Fitts","84",1059694,110,2013
"Olsen","Kevin","QB",89,"Kevin Olsen","84",1056026,415,2013
"Mitchell","Steven","WR",92,"Steven Mitchell","84",1057285,657,2013
"Hunter Jr.","Torii","WR",97,"Torii Hunter Jr.","84",1056675,513,2013
"Griffin","Kelsey","DT",102,"Kelsey Griffin","84",1057232,648,2013
"Baugh","Marcus","TE",104,"Marcus Baugh","84",1056738,518,2013
"Cunningham","Jordan","WR",109,"Jordan Cunningham","84",1058136,736,2013
"Goodman","Tahaan","S",110,"Tahaan Goodman","84",1059665,110,2013
"Elliott","Ezekiel","RB",111,"Ezekiel Elliott","84",1056708,518,2013
"Fulwood","Ahmad","WR",112,"Ahmad Fulwood","84",1055179,235,2013
"Ramsey","Brice","QB",117,"Brice Ramsey","84",1055260,257,2013
"Charlton","Taco","DE",118,"Taco Charlton","84",1056093,418,2013
"Qualls","Elijah","DT",119,"Elijah Qualls","84",1058283,756,2013
