"Last.Name","First.Name","Position","Rank","Full.Name","Grade","Player.Code","Team.Code","year"
"Carr","Stephen","RB",40,"Stephen Carr","86",1003523,674,2017
"Thomas","Jeff","WR",103,"Jeff Thomas","84",1054911,157,2017
"Taylor","Keith","CB",602,"Keith Taylor","78",1007331,741,2017
"Miller","Chris","CB",679,"Chris Miller","78",1010501,519,2017
"Miller","Chris","CB",679,"Chris Miller","78",1014231,669,2017
"Williams","Andre","WR",735,"Andre Williams","77",1035265,207,2017
"Williams","Andre","WR",735,"Andre Williams","77",85905,655,2017
"Smith","Brandon","WR",800,"Brandon Smith","77",1000137,28,2017
"Smith","Brandon","WR",800,"Brandon Smith","77",1021119,502,2017
"Smith","Brandon","WR",800,"Brandon Smith","77",1049354,670,2017
"Johnson","Donovan","CB",848,"Donovan Johnson","76",1007892,228,2017
"Watson","Charles","CB",880,"Charles Watson","76",1049138,646,2017
"Thomas","Cameron","QB",914,"Cameron Thomas","75",1058401,774,2017
"Turner","Josh","CB",1079,"Josh Turner","71",1041818,703,2017
"Lewis","Isaiah","S",1083,"Isaiah Lewis","71",1032695,416,2017
"Davis","Kevin","WR",1165,"Kevin Davis","NR",1047454,306,2017
"Page","Tyler","QB",1373,"Tyler Page","NR",1034095,694,2017
"Johnson","Jordan","QB",1414,"Jordan Johnson","NR",1043418,441,2017
"Allen","Jamal","CB",1511,"Jamal Allen","NR",1036959,141,2017
"Davis","Gabe","WR",1538,"Gabe Davis","NR",1060600,758,2017
"Brown","Brandon","CB",1716,"Brandon Brown","NR",86225,108,2017
"Jones","Tim","WR",1721,"Tim Jones","NR",1012227,48,2017
"Anderson","Zach","DT",1735,"Zach Anderson","NR",1025386,503,2017
"Bell","Chris","WR",1736,"Chris Bell","NR",1003022,539,2017
"Jones","Charles","RB",1808,"Charles Jones","NR",1047545,327,2017
"Thompson","Jordan","RB",1920,"Jordan Thompson","NR",1056911,529,2017
"Williams","Darian","RB",2014,"Darian Williams","NR",1006427,504,2017
"Clark","Caleb","WR",2121,"Caleb Clark","NR",1004574,774,2017
"Thomas","Michael","WR",2138,"Michael Thomas","NR",1048725,518,2017
"Thomas","Michael","WR",2138,"Michael Thomas","NR",81696,29,2017
"Jones","Chris","WR",2238,"Chris Jones","NR",1061645,149,2017
"Jones","Chris","WR",2238,"Chris Jones","NR",1034269,703,2017
"Schmidt","Kenny","QB",2335,"Kenny Schmidt","NR",1045635,667,2017
"Jones","Chris","S",2395,"Chris Jones","NR",1010777,574,2017
"Jones","Chris","S",2395,"Chris Jones","NR",1060610,758,2017
"Jones","Jonathan","S",2421,"Jonathan Jones","NR",79435,749,2017
"Wilson","Demetrius","WR",2464,"Demetrius Wilson","NR",1046357,31,2017
"Johnson","Samuel","DE",2506,"Samuel Johnson","NR",1023936,235,2017
"Brown","Justin","WR",2534,"Justin Brown","NR",1025690,539,2017
"Brown","Justin","WR",2534,"Justin Brown","NR",1036196,667,2017
"Brown","Justin","WR",2534,"Justin Brown","NR",1025690,522,2017
"McDaniel","Ryan","RB",2703,"Ryan McDaniel","NR",1050315,756,2017
"Smith","Jordan","WR",2823,"Jordan Smith","NR",1053390,692,2017
"Smith","Jordan","WR",2823,"Jordan Smith","NR",1008397,77,2017
"Sullivan","Eddie","QB",2926,"Eddie Sullivan","NR",1052836,769,2017
"Sullivan","Eddie","QB",2926,"Eddie Sullivan","NR",1032535,388,2017
"Jones","TJ","WR",3118,"TJ Jones","NR",1033320,513,2017
"Phillips","B.J.","QB",3214,"B.J. Phillips","NR",1002278,457,2017
"Weber","Nick","OG",3267,"Nick Weber","NR",1009932,428,2017
"Francis","Greg","S",3286,"Greg Francis","NR",1012309,90,2017
"White","Brandon","WR",3498,"Brandon White","NR",44447,796,2017
"Davis","Bryson","RB",3542,"Bryson Davis","NR",49331,430,2017
"Jones","Brandon","RB",3555,"Brandon Jones","NR",38173,559,2017
"Williams","Casey","WR",3638,"Casey Williams","NR",1055348,288,2017
"Davis","William","DE",3641,"William Davis","NR",1021188,508,2017
"Smith","Jonathan","WR",3884,"Jonathan Smith","NR",1036943,43,2017
"Brown","Justin","WR",4000,"Justin Brown","NR",1025690,539,2017
"Brown","Justin","WR",4000,"Justin Brown","NR",1036196,667,2017
"Brown","Justin","WR",4000,"Justin Brown","NR",1025690,522,2017
"Nelson","Craig","RB",4164,"Craig Nelson","NR",65220,446,2017
"Johnson","Trey","RB",4447,"Trey Johnson","NR",1034943,768,2017
"Hansen","Chase","QB",4456,"Chase Hansen","NR",1050118,732,2017
"Lewis","Chris","DE",4487,"Chris Lewis","NR",1015761,96,2017
"Lewis","Chris","DE",4487,"Chris Lewis","NR",1000586,96,2017
"Jones","Javon","WR",4585,"Javon Jones","NR",1036205,667,2017
"Johnson","Joshua","RB",4620,"Joshua Johnson","NR",1044581,483,2017
"Louis","Jonathan","DE",4863,"Jonathan Louis","NR",1031663,164,2017
"Hudson","Michael","WR",4867,"Michael Hudson","NR",1042069,725,2017
"Jones","Anthony","RB",4947,"Anthony Jones","NR",83705,716,2017
"Jones","Anthony","RB",4947,"Anthony Jones","NR",1013149,315,2017
"Jackson","Terrell","RB",4993,"Terrell Jackson","NR",77022,529,2017
"Jackson","Terrell","RB",4993,"Terrell Jackson","NR",77022,704,2017
"Johnson","Jake","WR",5091,"Jake Johnson","NR",1056749,519,2017
"Williams","Sam","WR",5271,"Sam Williams","NR",1024909,430,2017
"Jones","Jay","WR",5380,"Jay Jones","NR",1047020,204,2017
"Brown","Cameron","RB",5434,"Cameron Brown","NR",1035907,624,2017
"Jones","Corey","WR",5474,"Corey Jones","NR",1057783,709,2017
"Lewis","Brandon","WR",5476,"Brandon Lewis","NR",86204,501,2017
"Miller","Brent","QB",5511,"Brent Miller","NR",1001925,414,2017
"Jones","Anthony","RB",5553,"Anthony Jones","NR",83705,716,2017
"Jones","Anthony","RB",5553,"Anthony Jones","NR",1013149,315,2017
"Johnson","Michael","DE",5563,"Michael Johnson","NR",85014,255,2017
"Brown","Kevin","QB",5913,"Kevin Brown","NR",80748,630,2017
"Jackson","Brandon","RB",5929,"Brandon Jackson","NR",69673,704,2017
"Jackson","Brandon","RB",5929,"Brandon Jackson","NR",74910,463,2017
"Jackson","Brandon","RB",5929,"Brandon Jackson","NR",1007733,691,2017
"Jackson","Brandon","RB",5929,"Brandon Jackson","NR",1009526,196,2017
"Jackson","Brandon","RB",5929,"Brandon Jackson","NR",1014838,1092,2017
"Jackson","Brandon","RB",5929,"Brandon Jackson","NR",1009526,334,2017
"Taylor","Hunter","QB",5998,"Hunter Taylor","NR",1052681,676,2017
"Jackson","Demetrius","CB",6156,"Demetrius Jackson","NR",1045512,550,2017
