"Last.Name","First.Name","Position","Rank","Full.Name","Grade","Player.Code","Team.Code","year"
"Devine","Noel","RB",6,"Noel Devine","87",1012044,768,2007
"Toliver","Terrance","WR",7,"Terrance Toliver","86",1009564,365,2007
"Walton","J.B.","OG",8,"J.B. Walton","86",1010688,539,2007
"Clausen","Jimmy","QB",9,"Jimmy Clausen","86",1010448,513,2007
"Austin","Marvin","DT",11,"Marvin Austin","85",1010087,457,2007
"Tate","Golden","WR",12,"Golden Tate","85",1010433,513,2007
"Mallett","Ryan","QB",13,"Ryan Mallett","85",1009844,418,2007
"Mallett","Ryan","QB",13,"Ryan Mallett","85",1009844,31,2007
"Gray","Gary","CB",14,"Gary Gray","85",1010438,513,2007
"McCoy","LeSean","RB",16,"LeSean McCoy","84",1010703,545,2007
"Dunlap","Carlos","DE",17,"Carlos Dunlap","84",1009024,235,2007
"Taylor","Tyrod","QB",18,"Tyrod Taylor","84",1011843,742,2007
"Benn","Arrelious","WR",19,"Arrelious Benn","84",1009244,301,2007
"Jones","Marshall","S",20,"Marshall Jones","84",1010975,657,2007
"Hemingway","Junior","WR",21,"Junior Hemingway","84",1009847,418,2007
"Allen","Tray","OT",23,"Tray Allen","84",1011356,703,2007
"Little","Greg","WR",24,"Greg Little","84",1010085,457,2007
"Easterling","Antwain","RB",25,"Antwain Easterling","84",1015181,664,2007
"Scott","Christian","S",26,"Christian Scott","84",1011358,703,2007
"Brantley","John","QB",27,"John Brantley","84",1008994,235,2007
"Neal","Kerry","DE",28,"Kerry Neal","84",1010445,513,2007
"Troupe","Israel","WR",29,"Israel Troupe","83",1009082,257,2007
"Bryant","Dez","WR",31,"Dez Bryant","83",1010524,521,2007
"Griffen","Everson","DE",33,"Everson Griffen","83",1010997,657,2007
"Thompson","Deonte","WR",34,"Deonte Thompson","82",1009019,235,2007
"Corp","Aaron","QB",35,"Aaron Corp","82",1035872,575,2007
"Corp","Aaron","QB",35,"Aaron Corp","82",1010970,657,2007
"Anderson","Justin","OT",36,"Justin Anderson","82",1009102,257,2007
"Rainey","Chris","RB",37,"Chris Rainey","82",1009025,235,2007
"Mullins","Aleric","DT",38,"Aleric Mullins","82",1002330,457,2007
"Brown","John","DT",39,"John Brown","82",1009033,235,2007
"Kamara","Duval","WR",40,"Duval Kamara","82",1010432,513,2007
"Garcia","Stephen","QB",42,"Stephen Garcia","82",1010924,648,2007
"Gray","Logan","QB",44,"Logan Gray","82",1009079,257,2007
"Chiles","John","WR",45,"John Chiles","82",1011362,703,2007
"Jones","Richetti","DE",46,"Richetti Jones","82",1010567,521,2007
"Wilson","James","OG",49,"James Wilson","82",1009021,235,2007
"Brewster","Clint","QB",50,"Clint Brewster","82",1009920,428,2007
"Brewster","Clint","QB",50,"Clint Brewster","82",1030193,692,2007
"Hernandez","Aaron","TE",54,"Aaron Hernandez","81",1009026,235,2007
"Creer","Lennon","RB",55,"Lennon Creer","81",1011205,366,2007
"Jones","Phelon","CB",56,"Phelon Jones","81",1009541,365,2007
"Benton","DeAngelo","WR",57,"DeAngelo Benton","81",1023112,37,2007
"Chambers","Lee","RB",59,"Lee Chambers","81",1009800,415,2007
"Ragone","Mike","TE",60,"Mike Ragone","81",1010452,328,2007
"Ragone","Mike","TE",60,"Mike Ragone","81",1010452,513,2007
"Jones","Dwight","WR",61,"Dwight Jones","81",1022833,457,2007
"McDaniel","DeAndre","S",63,"DeAndre McDaniel","81",1008641,147,2007
"Newton","Cameron","QB",64,"Cameron Newton","81",1008996,235,2007
"Newton","Cameron","QB",64,"Cameron Newton","81",1008996,37,2007
"Lamb","Tim","DT",65,"Tim Lamb","81",1018804,716,2007
"Lee","Jarrett","QB",66,"Jarrett Lee","81",1009529,365,2007
"Hills","Joe","WR",67,"Joe Hills","81",1010935,648,2007
"McCray","D'Angelo","DT",70,"D'Angelo McCray","81",1020138,201,2007
"Powell","Tydreke","DT",72,"Tydreke Powell","81",1010088,457,2007
"Martin","Ben","DE",73,"Ben Martin","81",1011226,694,2007
"Martin","Ben","DE",73,"Ben Martin","81",1002358,463,2007
"Coleman","Martin","OT",74,"Martin Coleman","81",1010991,657,2007
"Finch","Jerimy","S",75,"Jerimy Finch","81",1008998,306,2007
"Tuihalamaka","Apaiata","DE",76,"Apaiata Tuihalamaka","81",1008065,29,2007
"Miller","Ryan","OT",77,"Ryan Miller","81",1008743,157,2007
"Allen","Dionte","CB",79,"Dionte Allen","81",1008966,234,2007
"Williams","Jamire","CB",80,"Jamire Williams","81",1010910,648,2007
"Dwyer","Jonathan","RB",81,"Jonathan Dwyer","81",1009041,255,2007
"Marve","Robert","QB",83,"Robert Marve","80",1009791,559,2007
"Marve","Robert","QB",83,"Robert Marve","80",1009791,415,2007
"Laurent","Ted","DT",84,"Ted Laurent","80",1010009,433,2007
"Paul","Brandon","WR",87,"Brandon Paul","80",1008964,234,2007
"Matthews","Cliff","DE",90,"Cliff Matthews","80",1010934,648,2007
"Romine","Matt","OT",91,"Matt Romine","80",1010449,513,2007
"Warren","Donovan","CB",92,"Donovan Warren","80",1009869,418,2007
"Wright","Major","S",96,"Major Wright","80",1009000,235,2007
"Campbell","Todd","WR",98,"Todd Campbell","80",1011196,694,2007
"Campbell","Todd","WR",98,"Todd Campbell","80",1011196,419,2007
"Culliver","Chris","WR",99,"Chris Culliver","80",1010915,648,2007
"Williams","Mike","S",100,"Mike Williams","80",1009862,418,2007
"Sturdivant","Trinton","OT",101,"Trinton Sturdivant","80",1009101,257,2007
"Brown","Curtis","CB",103,"Curtis Brown","80",1011344,703,2007
"Howard","Ahmard","TE",106,"Ahmard Howard","80",1011367,703,2007
"Korn","Willy","QB",107,"Willy Korn","80",1008643,147,2007
"Williams","Malcolm","S",108,"Malcolm Williams","80",1026333,698,2007
"Dell","Mark","WR",110,"Mark Dell","79",1009830,416,2007
"Obi","Conrad","DE",111,"Conrad Obi","79",1008749,157,2007
"Williams","Bo","RB",113,"Bo Williams","79",1009006,311,2007
"Williams","Bo","RB",113,"Bo Williams","79",1009006,235,2007
"Williams","Bo","RB",113,"Bo Williams","79",1045799,61,2007
"Harris","DaJohn","DT",114,"DaJohn Harris","79",1010998,657,2007
"Clay","John","RB",115,"John Clay","79",1012087,796,2007
"Aiken","Kamar","WR",117,"Kamar Aiken","79",1008570,128,2007
"Rowe","Kenny","DE",118,"Kenny Rowe","79",1010654,529,2007
"Davis","Anthony","OG",120,"Anthony Davis","79",1028657,711,2007
